"","Coverage Type","Vessel Type","Gear Type","Management Program","NMFS Region","Confi Flag","OLE System","Vessel/Plant Assignments","Deployed Days","Statements (all categories)","Occurrences (all categories)","OLE PRIORITY: INTER-PERSONAL per ASSNMT","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","COAST GUARD","LIMITED ACCESS PROGRAMS","PROTECTED RESOURCE & PROHIBITED SPECIES","ALL OTHER STATEMENT TYPES"
"42","FULL","PLANT"," ","AFA","BSAI",0,"NEW",64,1776,27.456426842585,1309.42718735499,0.159582934008762,5.75073636067612,84.5284254978391,NA,294.850470678784,143.778459165687,208.381991267166
"43","FULL","PLANT"," ","AFA","BSAI",0,"OLD",45,1733,37.8413921829016,131.659348452076,0.107544581618656,2.79255982275794,4.55420000853363,3.84828882308882,12.9379772821399,5.56142008445589,46.2774803795292
"44","FULL","PLANT"," ","OA","BSAI",0,"NEW",5,28,1.00212212486309,90.4862404162103,0.200492880613363,35.802300109529,500,NA,1513.82803943045,20.0892857142857,1161.93181818182
"45","FULL","PLANT"," ","OA","BSAI",0,"OLD",18,146,2.61732480154151,5.58762841672437,0.00342935528120713,0.422797226450194,5.72337031582396,5.59860799109488,17.4896258222715,2.47985612080782,6.55717003536245
"46","FULL","PLANT"," ","OA","GOA",0,"NEW",37,701,21.5414510325519,659.086572228799,0.102276427577632,5.39832784646562,21.2232757715233,NA,79.8265035241472,430.937170501768,402.823812554098
"47","FULL","PLANT"," ","OA","GOA",0,"OLD",23,648,6.54128301555685,10.7530231311999,0.00429414922168545,0.152415790275873,0.419690307254516,0.792467134085207,0.0385802469135802,4.62962962962963,10.5613883906065
"48","PARTIAL","CV","HAL","CDQ","BSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","PARTIAL","CV","HAL","IFQ","BSAI",0,"NEW",16,208,10.2264167205344,379.548631760396,NA,NA,NA,4.80769230769231,NA,NA,1819.94534500191
"50","PARTIAL","CV","HAL","IFQ","BSAI",1,"OLD",1,2,0,0,NA,NA,NA,NA,NA,NA,NA
"51","PARTIAL","CV","HAL","IFQ","GOA",0,"NEW",148,865,42.6072829131653,289.347338935574,0.182432432432432,31.2138728323699,70.9826589595376,51.9845857418112,NA,6.9364161849711,173.388060426483
"52","PARTIAL","CV","HAL","IFQ","GOA",0,"OLD",77,448,23.4166666666667,88.7916666666667,0.025974025974026,4.46428571428571,NA,15.4389880952381,33.4821428571429,26.7857142857143,118.024553571429
"53","PARTIAL","CV","HAL","OA","BSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","PARTIAL","CV","HAL","OA","GOA",1,"NEW",2,2,0,0,NA,NA,NA,NA,NA,NA,NA
"55","PARTIAL","CV","HAL","OA","GOA",0,"OLD",6,21,1,2,NA,NA,NA,95.2380952380952,NA,NA,NA
"56","PARTIAL","CV","NPT","OA","BSAI",0,"NEW",4,17,0,0,NA,NA,NA,NA,NA,NA,NA
"57","PARTIAL","CV","NPT","OA","BSAI",0,"OLD",26,129,8.66666666666667,22.6666666666667,NA,NA,NA,50.6459948320413,NA,43.4108527131783,81.6537467700258
"58","PARTIAL","CV","NPT","OA","GOA",0,"NEW",14,63,1.8,20.8,NA,NA,NA,NA,NA,317.460317460317,12.6984126984127
"59","PARTIAL","CV","NPT","OA","GOA",0,"OLD",43,150,16.4914565826331,44.7771708683473,0.116279069767442,33.3333333333333,73.3333333333333,20.7301587301587,NA,22.8160597572362,148.301587301587
"60","PARTIAL","CV","POT","CDQ","BSAI",1,"NEW",2,7,0,0,NA,NA,NA,NA,NA,NA,NA
"61","PARTIAL","CV","POT","CDQ","BSAI",1,"OLD",1,3,0,0,NA,NA,NA,NA,NA,NA,NA
"62","PARTIAL","CV","POT","IFQ","BSAI",0,"NEW",11,54,12.1282051282051,30.2564102564103,0.454545454545455,92.5925925925926,18.5185185185185,129.62962962963,NA,NA,319.563152896486
"63","PARTIAL","CV","POT","IFQ","BSAI",0,"OLD",8,55,0,0,NA,NA,NA,NA,NA,NA,NA
"64","PARTIAL","CV","POT","IFQ","GOA",0,"NEW",51,340,29.0380952380952,184.847619047619,0.117647058823529,17.6470588235294,51.7647058823529,53.0392156862745,NA,NA,421.218487394958
"65","PARTIAL","CV","POT","IFQ","GOA",0,"OLD",69,513,12.5833333333333,57.2083333333333,NA,NA,1.94931773879142,29.4022092267706,7.79727095516569,NA,72.3684210526316
"66","PARTIAL","CV","POT","OA","BSAI",0,"NEW",6,71,5,35,NA,NA,NA,239.43661971831,NA,NA,253.521126760563
"67","PARTIAL","CV","POT","OA","BSAI",0,"OLD",10,86,5,20,NA,NA,NA,11.6279069767442,NA,NA,220.93023255814
"68","PARTIAL","CV","POT","OA","GOA",1,"NEW",1,5,2,8,5,1000,NA,600,NA,NA,NA
"69","PARTIAL","CV","POT","OA","GOA",0,"OLD",9,41,5,45,NA,NA,NA,NA,NA,NA,1097.56097560976
"70","PARTIAL","CV","PTR","OA","GOA",0,"NEW",40,200,4.2,14.2,NA,NA,20,50,NA,NA,1
"71","PARTIAL","CV","PTR","OA","GOA",0,"OLD",46,283,19.8418767507003,21.556162464986,0.0217391304347826,3.53356890459364,3.53356890459364,8.32912670368501,NA,24.6557987152458,36.118122160525
"72","FULL","CP/MS","NPT","A80","GOA",1,"NEW",1,1,0,0,NA,NA,NA,NA,NA,NA,NA
"73","FULL","CP/MS","NPT","A80","GOA",1,"OLD",1,1,0.0833333333333333,0.229166666666667,0.03125,31.25,NA,93.75,52.0833333333333,52.0833333333333,NA
"74","PARTIAL","CV","PTR","AFA","BSAI",1,"NEW",1,6,0,0,NA,NA,NA,NA,NA,NA,NA
"75","PARTIAL","CV","PTR","RPP","GOA",1,"NEW",1,1,0,0,NA,NA,NA,NA,NA,NA,NA
