"","CALENDAR_YEAR","OLE_SYSTEM","OLD_OLE_CATEGORY","STATEMENT_TYPE","TOTAL_INCIDENTS","TOTAL_STATEMENTS","DAYS","ASSIGNMENTS","CRUISES","OBSERVERS","AFFIS_PER_DAY","INCIDENTS_PER_DAY","STATEMENTS_PER_1000_DEPLOYED_DAYS","INCIDENTS_PER_1000_DEPLOYED_DAYS","STATEMENTS_PER_90_DEPLOYED_DAYS","INCIDENTS_PER_90_DEPLOYED_DAYS","STATEMENTS_PER_OBSERVER","INCIDENTS_PER_OBSERVER","STATEMENTS_PER_CRUISE","INCIDENTS_PER_CRUISE","STATEMENTS_PER_ASSIGNMENT","INCIDENTS_PER_ASSIGNMENT"
"1",2022,"OLD","COAST GUARD categories","MARINE CASUALTY",211,134,32474,1173,562,340,0.00412637802549732,0.00649750569686518,4.12637802549732,6.49750569686518,0.371374022294759,0.584775512717867,0.394117647058824,0.620588235294118,0.238434163701068,0.375444839857651,0.114236999147485,0.179880647911338
"2",2022,"OLD","INTER-PERSONAL categories","DISRUPTIVE/BOTHERSOME BEHAVIOR - CONFLICT RESOLVED",58,30,32474,1173,562,340,0.000923815975857609,0.00178604421999138,0.923815975857609,1.78604421999138,0.0831434378271848,0.160743979799224,0.0882352941176471,0.170588235294118,0.0533807829181495,0.103202846975089,0.0255754475703325,0.0494458653026428
"3",2022,"OLD","INTER-PERSONAL categories","SEXUAL HARASSMENT",38,17,32474,1173,562,340,0.000523495719652645,0.00117016690275297,0.523495719652645,1.17016690275297,0.0471146147687381,0.105315021247767,0.05,0.111764705882353,0.0302491103202847,0.0676156583629893,0.0144927536231884,0.0323955669224211
"4",2022,"OLD","INTER-PERSONAL categories","ASSAULT",17,7,32474,1173,562,340,0.000215557061033442,0.000523495719652645,0.215557061033442,0.523495719652645,0.0194001354930098,0.0471146147687381,0.0205882352941176,0.05,0.0124555160142349,0.0302491103202847,0.00596760443307758,0.0144927536231884
"5",2022,"OLD","INTER-PERSONAL categories","INTIMIDATION, COERCION, HOSTILE WORK ENVIRONMENT",299,41,32474,1173,562,340,0.00126254850033873,0.00920736589271417,1.26254850033873,9.20736589271417,0.113629365030486,0.828662930344276,0.120588235294118,0.879411764705882,0.0729537366548043,0.53202846975089,0.0349531116794544,0.254901960784314
"6",2022,"OLD","SAFETY AND DUTIES categories","SAMPLING INTERFERENCE",362,21,32474,1173,562,340,0.000646671183100326,0.0111473794420152,0.646671183100326,11.1473794420152,0.0582004064790294,1.00326414978136,0.0617647058823529,1.06470588235294,0.0373665480427046,0.644128113879004,0.0179028132992327,0.308610400682012
"7",2022,"OLD","SAFETY AND DUTIES categories","SAFETY",145,76,32474,1173,562,340,0.00234033380550594,0.00446511054997844,2.34033380550594,4.46511054997844,0.210630042495535,0.40185994949806,0.223529411764706,0.426470588235294,0.135231316725979,0.258007117437722,0.0647911338448423,0.123614663256607
"8",2023,"NEW","COAST GUARD categories","MARINE CASUALTY",96,61,16540,606,284,237,0.00368802902055623,0.00580411124546554,3.68802902055623,5.80411124546554,0.331922611850061,0.522370012091898,0.257383966244726,0.40506329113924,0.214788732394366,0.338028169014085,0.100660066006601,0.158415841584158
"9",2023,"NEW","INTER-PERSONAL categories","HOSTILE WORK ENVIRONMENT",86,11,16540,606,284,237,0.000665054413542926,0.00519951632406288,0.665054413542926,5.19951632406288,0.0598548972188634,0.467956469165659,0.0464135021097046,0.362869198312236,0.0387323943661972,0.302816901408451,0.0181518151815182,0.141914191419142
"10",2023,"NEW","INTER-PERSONAL categories","IMPEDIMENT",12,3,16540,606,284,237,0.000181378476420798,0.000725513905683192,0.181378476420798,0.725513905683192,0.0163240628778718,0.0652962515114873,0.0126582278481013,0.0506329113924051,0.0105633802816901,0.0422535211267606,0.00495049504950495,0.0198019801980198
