,CALENDAR_YEAR,COVERAGE_TYPE,VESSEL_TYPE,GEAR_TYPE,MANAGEMENT_PROGRAM_CODE,NMFS_REGION,ALL OTHER STATEMENT TYPES,COAST GUARD,LIMITED ACCESS PROGRAMS,OLE PRIORITY: INTER-PERSONAL,OLE PRIORITY: SAFETY AND DUTIES,PROTECTED RESOURCE & PROHIBITED SPECIES,TOTAL_DAYS,TOTAL_CRUISES,TOTAL_OBSERVERS,DISTINCT_OBSERVER_ASSIGNMENTS,TOTAL_STATEMENTS,TOTAL_INCIDENTS,FACTOR_GROUP
1,2019,FULL,CP/MS,HAL,CDQ,BSAI,0.62283344,0.142911572,0.181196572,0.018367347,0.003529412,0.025,519,30,27,30,9.908285401,29.8151503,FULLCP/MSHALCDQBSAI
2,2019,FULL,CP/MS,HAL,IFQ,BSAI,NA,NA,NA,NA,NA,NA,49,3,3,3,0,0,FULLCP/MSHALIFQBSAI
3,2019,FULL,CP/MS,HAL,IFQ,GOA,0.983756125,0.515935673,NA,0.152777778,NA,0.165540541,172,4,4,4,5.221400348,7.272040462,FULLCP/MSHALIFQGOA
4,2019,FULL,CP/MS,HAL,OA,BSAI,5.37262109,0.473619804,0.189942746,0.095513286,0.096059395,0.529979008,4299,99,76,103,89.20937209,696.0467389,FULLCP/MSHALOABSAI
5,2019,FULL,CP/MS,HAL,OA,GOA,NA,0.716517591,NA,NA,NA,NA,68,4,4,4,1.660942159,2.866070364,FULLCP/MSHALOAGOA
6,2019,FULL,CP/MS,NPT,A80,BSAI,0.847285932,0.940647273,2.133147812,0.602989532,0.932785208,0.646874257,10460,218,163,232,296.8931793,1416.065363,FULLCP/MSNPTA80BSAI
7,2019,FULL,CP/MS,NPT,CDQ,BSAI,0.161927524,0.254423516,1.441778522,0.156027693,0.2284133,0.247498693,2186,102,87,102,43.31721299,253.9870632,FULLCP/MSNPTCDQBSAI
8,2019,FULL,CP/MS,NPT,OA,BSAI,0.223750771,0.413659166,1.50033498,0.096150764,0.136618613,0.285336731,2211,90,80,90,53.34047737,239.0265922,FULLCP/MSNPTOABSAI
9,2019,FULL,CP/MS,NPT,OA,GOA,0.786306029,0.391259515,0.155517302,0.642445581,0.032258065,NA,796,30,30,31,16.64780107,62.24138125,FULLCP/MSNPTOAGOA
10,2019,FULL,CP/MS,NPT,RPP,GOA,0.036363636,0.787911968,0.198196793,0.056565657,NA,NA,278,11,11,11,6.89002389,11.86941859,FULLCP/MSNPTRPPGOA
11,2019,FULL,CP/MS,POT,CDQ,BSAI,0.24107683,0.75862069,0.074561404,0.24122807,NA,NA,148,6,6,6,5.445553539,7.89292196,FULLCP/MSPOTCDQBSAI
12,2019,FULL,CP/MS,POT,OA,BSAI,0.1,0.1,0.1,NA,NA,NA,148,10,10,10,3,3,FULLCP/MSPOTOABSAI
13,2019,FULL,CP/MS,PTR,AFA,BSAI,1.689236846,1.203562398,10.01784813,0.336810369,0.207588751,2.916739679,4850,108,97,113,159.1953459,1850.011838,FULLCP/MSPTRAFABSAI
14,2019,FULL,CP/MS,PTR,CDQ,BSAI,0.718152783,0.395400463,0.417659116,0.073737736,0.037947331,0.170274869,1248,66,61,67,29.40015968,121.4825439,FULLCP/MSPTRCDQBSAI
15,2019,FULL,CV,NPT,OA,BSAI,1.022685938,0.551826266,NA,0.295834506,NA,0.366824784,385,22,20,22,11.94196146,49.21777287,FULLCVNPTOABSAI
16,2019,FULL,CV,NPT,RPP,GOA,1.204086091,0.100105571,0.02991453,0.020414201,0.475950972,0.140682847,523,37,36,52,32.5397855,102.500019,FULLCVNPTRPPGOA
17,2019,FULL,CV,PTR,AFA,BSAI,1.677555933,0.301488575,0.06405694,0.107306688,0.060826718,0.216832223,8547,234,189,281,204.1318906,682.2868484,FULLCVPTRAFABSAI
18,2019,FULL,CV,PTR,RPP,GOA,0.988260827,0.068280066,0.010335917,0.006440072,0.119959111,0.015918418,255,36,33,43,20.38636242,51.99535968,FULLCVPTRRPPGOA
19,2019,FULL,PLANT, ,AFA,BSAI,8.318181818,0.045454545,0.045454545,0.333333333,1.303030303,0.757575758,2441,64,61,66,52,713,FULLPLANT AFABSAI
20,2019,PARTIAL,CV,HAL,CDQ,BSAI,0.2,NA,NA,NA,NA,0.8,30,5,5,5,2,5,PARTIALCVHALCDQBSAI
21,2019,PARTIAL,CV,HAL,IFQ,BSAI,0.662833933,0.00795756,0.490384615,NA,NA,0.048076923,200,20,17,26,4.968987909,31.44057882,PARTIALCVHALIFQBSAI
22,2019,PARTIAL,CV,HAL,IFQ,GOA,0.327512995,0.043078083,0.242827869,0.004098361,0.036885246,0.366882093,1587,76,50,244,82.58812165,249.1934538,PARTIALCVHALIFQGOA
23,2019,PARTIAL,CV,HAL,OA,BSAI,NA,NA,NA,NA,NA,NA,11,3,3,4,0,0,PARTIALCVHALOABSAI
24,2019,PARTIAL,CV,HAL,OA,GOA,0.222222222,NA,NA,NA,0.111111111,1.777777778,37,8,8,9,4,19,PARTIALCVHALOAGOA
25,2019,PARTIAL,CV,NPT,OA,BSAI,0.957720588,0.135110294,NA,0.03125,0.1875,0.375,248,23,22,32,16.14705882,53.97058824,PARTIALCVNPTOABSAI
26,2019,PARTIAL,CV,NPT,OA,GOA,0.240066283,0.042857143,NA,0.08447205,0.085714286,0.415934066,303,44,29,70,31.37152944,60.8330679,PARTIALCVNPTOAGOA
27,2019,PARTIAL,CV,POT,CDQ,BSAI,NA,NA,NA,NA,NA,NA,20,3,3,3,0,0,PARTIALCVPOTCDQBSAI
28,2019,PARTIAL,CV,POT,IFQ,BSAI,1,NA,2.5,NA,0.5,NA,16,4,4,4,4,16,PARTIALCVPOTIFQBSAI
29,2019,PARTIAL,CV,POT,IFQ,GOA,0.277216611,0.071225071,0.222222222,NA,NA,NA,122,17,16,18,8.271950272,10.27195027,PARTIALCVPOTIFQGOA
30,2019,PARTIAL,CV,POT,OA,BSAI,0.744680851,0.170212766,NA,NA,0.085106383,NA,283,30,25,47,29,47,PARTIALCVPOTOABSAI
31,2019,PARTIAL,CV,POT,OA,GOA,NA,0.142857143,NA,NA,NA,NA,39,7,7,7,1,1,PARTIALCVPOTOAGOA
32,2019,PARTIAL,CV,PTR,OA,GOA,0.241726819,0.024356618,NA,0.021286232,0.057291667,0.136017628,936,73,47,192,69.65235191,92.29036096,PARTIALCVPTROAGOA
33,2020,FULL,CP/MS,HAL,CDQ,BSAI,0.255079344,0.185668941,1.171426733,NA,0.048461538,0.048589744,517,26,22,26,6.431338643,44.43988381,FULLCP/MSHALCDQBSAI
34,2020,FULL,CP/MS,HAL,IFQ,BSAI,NA,0.039506173,0.4,NA,NA,NA,33,3,3,3,0.162962963,1.318518519,FULLCP/MSHALIFQBSAI
35,2020,FULL,CP/MS,HAL,IFQ,GOA,0.413793103,0.305917412,3.8,NA,0.103448276,NA,89,3,3,3,2.27100894,13.86947637,FULLCP/MSHALIFQGOA
36,2020,FULL,CP/MS,HAL,OA,BSAI,1.015432298,0.358032011,1.095108287,0.287671233,0.964789797,0.270365297,3577,71,54,73,62.13468945,291.3721213,FULLCP/MSHALOABSAI
37,2020,FULL,CP/MS,NPT,A80,BSAI,1.136086715,0.717163586,0.758700782,0.492008727,0.152967448,2.074869797,9902,165,136,167,217.6649632,890.4101082,FULLCP/MSNPTA80BSAI
38,2020,FULL,CP/MS,NPT,CDQ,BSAI,0.128300281,0.191833012,0.566690733,0.078041948,0.03161251,0.10352292,1631,75,70,75,24.2710518,82.50010536,FULLCP/MSNPTCDQBSAI
39,2020,FULL,CP/MS,NPT,OA,BSAI,0.15069102,0.194624642,0.584835015,0.041822277,0.035278155,0.187448597,1744,67,63,67,21.38993996,80.04488028,FULLCP/MSNPTOABSAI
40,2020,FULL,CP/MS,NPT,OA,GOA,3.920521241,0.124400616,0.18152388,0.176337042,0.047659056,0.126961882,635,26,25,26,10.4034204,119.0124967,FULLCP/MSNPTOAGOA
41,2020,FULL,CP/MS,NPT,RPP,GOA,0.056467905,0.315329661,0.134280755,0.054049166,0.120565156,0.062875291,298,11,11,11,5.211755698,8.179247282,FULLCP/MSNPTRPPGOA
42,2020,FULL,CP/MS,POT,CDQ,BSAI,NA,0.571428571,NA,NA,NA,NA,179,7,7,7,2,4,FULLCP/MSPOTCDQBSAI
43,2020,FULL,CP/MS,POT,OA,BSAI,3.166666667,0.083333333,NA,NA,NA,NA,156,12,12,12,2,39,FULLCP/MSPOTOABSAI
44,2020,FULL,CP/MS,PTR,A80,BSAI,NA,0.014285714,NA,NA,NA,0.036166365,28,5,5,5,0.180831826,0.252260398,FULLCP/MSPTRA80BSAI
45,2020,FULL,CP/MS,PTR,AFA,BSAI,0.643017643,1.114244728,0.695181843,0.432161382,0.042553191,1.411011209,5694,91,74,94,106.9319045,407.7879798,FULLCP/MSPTRAFABSAI
46,2020,FULL,CP/MS,PTR,CDQ,BSAI,0.045648956,0.326089207,0.029516192,0.113871965,NA,0.542231184,1364,56,50,56,19.06809553,59.21202023,FULLCP/MSPTRCDQBSAI
47,2020,FULL,CP/MS,PTR,RPP,GOA,NA,0.257970822,0.103627321,NA,0.038627321,NA,43,4,4,4,0.878037135,1.600901857,FULLCP/MSPTRRPPGOA
48,2020,FULL,CV,NPT,OA,BSAI,0.117165104,0.107658584,NA,0.177976953,0.055848697,0.514550537,530,31,31,33,8.912750601,32.11559585,FULLCVNPTOABSAI
49,2020,FULL,CV,NPT,RPP,GOA,0.190266933,0.066129032,NA,0.141344538,0.010416667,0.02,352,32,30,40,11.65320148,17.12628678,FULLCVNPTRPPGOA
50,2020,FULL,CV,PTR,AFA,BSAI,2.254674876,0.568504057,0.010582011,0.328713019,0.376492026,0.48687742,9103,163,146,189,145.0872494,760.8844041,FULLCVPTRAFABSAI
51,2020,FULL,CV,PTR,RPP,GOA,0.326180833,0.028826356,NA,0.02006079,0.118794326,0.004255319,378,36,31,47,12.94343718,23.41152835,FULLCVPTRRPPGOA
52,2020,FULL,PLANT, ,AFA,BSAI,1.010795604,0.235074485,0.101449275,0.270214787,0.298005331,0.305249638,4858,68,58,69,70.79897144,153.2344494,FULLPLANT AFABSAI
53,2020,FULL,PLANT, ,OA,BSAI,0.096546408,0.05998927,NA,0.027321516,0.03366401,0.072136537,149,13,10,13,2.201028562,3.765550639,FULLPLANT OABSAI
54,2020,FULL,PLANT, ,OA,GOA,14.66666667,NA,NA,0.666666667,9,10.2,553,14,14,15,38,518,FULLPLANT OAGOA
55,2020,PARTIAL,CV,HAL,CDQ,BSAI,NA,NA,NA,NA,NA,NA,26,3,3,4,0,0,PARTIALCVHALCDQBSAI
56,2020,PARTIAL,CV,HAL,IFQ,BSAI,0.047619048,0.388888889,0.055555556,NA,0.055555556,NA,49,4,4,6,2.142857143,3.285714286,PARTIALCVHALIFQBSAI
57,2020,PARTIAL,CV,HAL,IFQ,GOA,0.52010582,0.092592593,0.009259259,0.037962963,0.023148148,0.708333333,452,34,28,72,18.32380952,100.1809524,PARTIALCVHALIFQGOA
58,2020,PARTIAL,CV,NPT,OA,BSAI,0.3125,NA,NA,0.25,0.0625,NA,78,13,13,16,5,10,PARTIALCVNPTOABSAI
59,2020,PARTIAL,CV,NPT,OA,GOA,0.222701689,0.048780488,NA,0.024390244,NA,0.230487805,161,24,21,41,10.38076923,21.58076923,PARTIALCVNPTOAGOA
60,2020,PARTIAL,CV,POT,IFQ,BSAI,3.8,0.2,5.4,NA,NA,0.6,44,4,4,5,7,50,PARTIALCVPOTIFQBSAI
61,2020,PARTIAL,CV,POT,IFQ,GOA,1.302777778,NA,0.083333333,0.177777778,0.916666667,NA,167,18,17,24,12.53333333,59.53333333,PARTIALCVPOTIFQGOA
62,2020,PARTIAL,CV,POT,OA,BSAI,0.391304348,0.130434783,NA,NA,NA,NA,128,17,16,23,6,12,PARTIALCVPOTOABSAI
63,2020,PARTIAL,CV,PTR,OA,GOA,0.268699275,0.031746032,NA,0.022275577,0.047619048,0.088095238,276,27,25,63,18.02259211,28.88141564,PARTIALCVPTROAGOA
64,2020,PARTIAL,PLANT, ,OA,GOA,2,NA,NA,NA,NA,1,282,5,5,6,11,18,PARTIALPLANT OAGOA
