"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"1",2019,"FULL","CP/MS","HAL","CDQ","BSAI",36.0019329589377,8.26078451928774,10.473790295047,1.06169635484251,0.204012240734444,1.44508670520231,519,30,27,30,9.9082854007715,29.8151502954328,"FULLCP/MSHALCDQBSAI"
"2",2019,"FULL","CP/MS","HAL","IFQ","BSAI",NA,NA,NA,NA,NA,NA,49,3,3,3,0,0,"FULLCP/MSHALIFQBSAI"
"3",2019,"FULL","CP/MS","HAL","IFQ","GOA",22.8780494080372,11.9985040119679,NA,3.55297157622739,NA,3.84978001257071,172,4,4,4,5.22140034771614,7.27204046151415,"FULLCP/MSHALIFQGOA"
"4",2019,"FULL","CP/MS","HAL","OA","BSAI",128.722952383375,11.3474854107203,4.55084969455004,2.28840857890803,2.30149282322838,12.6977989853077,4299,99,76,103,89.2093720928958,696.046738879308,"FULLCP/MSHALOABSAI"
"5",2019,"FULL","CP/MS","HAL","OA","GOA",NA,42.1480935844821,NA,NA,NA,NA,68,4,4,4,1.66094215861658,2.86607036374478,"FULLCP/MSHALOAGOA"
"6",2019,"FULL","CP/MS","NPT","A80","BSAI",18.7925751751613,20.8633047104107,47.3126474445489,13.3741464068833,20.6889262181868,14.3474978533568,10460,218,163,232,296.893179336122,1416.06536307741,"FULLCP/MSNPTA80BSAI"
"7",2019,"FULL","CP/MS","NPT","CDQ","BSAI",7.55563010354972,11.8715455592006,67.2742036804657,7.28034064098197,10.6578941453486,11.5484294122693,2186,102,87,102,43.317212985425,253.987063182409,"FULLCP/MSNPTCDQBSAI"
"8",2019,"FULL","CP/MS","NPT","OA","BSAI",9.10790110750562,16.8382292762497,61.0719802052604,3.91387097393178,5.56113756491805,11.6147922924772,2211,90,80,90,53.3404773690815,239.026592150378,"FULLCP/MSNPTOABSAI"
"9",2019,"FULL","CP/MS","NPT","OA","GOA",30.6224709959271,15.2374936762894,6.0565783619539,25.0198655744082,1.25628140703518,NA,796,30,30,31,16.647801074411,62.2413812524286,"FULLCP/MSNPTOAGOA"
"10",2019,"FULL","CP/MS","NPT","RPP","GOA",1.43884892086331,31.176372817957,7.84231914399846,2.23820943245404,NA,NA,278,11,11,11,6.89002388972798,11.8694185876458,"FULLCP/MSNPTRPPGOA"
"11",2019,"FULL","CP/MS","POT","CDQ","BSAI",9.77338500024525,30.7548928238583,3.02275960170697,9.77951635846373,NA,NA,148,6,6,6,5.44555353901996,7.8929219600726,"FULLCP/MSPOTCDQBSAI"
"12",2019,"FULL","CP/MS","POT","OA","BSAI",6.75675675675676,6.75675675675676,6.75675675675676,NA,NA,NA,148,10,10,10,3,3,"FULLCP/MSPOTOABSAI"
"13",2019,"FULL","CP/MS","PTR","AFA","BSAI",39.3574770248401,28.0417630961952,233.405533858052,7.84733436889723,4.83660388697472,67.9570275816319,4850,108,97,113,159.195345937098,1850.01183811047,"FULLCP/MSPTRAFABSAI"
"14",2019,"FULL","CP/MS","PTR","CDQ","BSAI",38.5546766262222,21.2274286906453,22.4224044779216,3.95867653112856,2.03723649693317,9.14135915792099,1248,66,61,67,29.4001596808794,121.482543912003,"FULLCP/MSPTRCDQBSAI"
"15",2019,"FULL","CV","NPT","OA","BSAI",58.4391964702366,31.5329294888607,NA,16.9048289172128,NA,20.9614162146094,385,22,20,22,11.9419614555216,49.217772870004,"FULLCVNPTOABSAI"
"16",2019,"FULL","CV","NPT","RPP","GOA",119.717928759264,9.95313515500413,2.97429360526875,2.02971025150757,47.3220851805938,13.9875870389873,523,37,36,52,32.5397854986137,102.500019015097,"FULLCVNPTRPPGOA"
"17",2019,"FULL","CV","PTR","AFA","BSAI",55.1530615480597,9.91204979642047,2.10600210600211,3.52792550934966,1.999801999802,7.12880013541305,8547,234,189,281,204.13189062308,682.286848439367,"FULLCVPTRAFABSAI"
"18",2019,"FULL","CV","PTR","RPP","GOA",166.647904182734,11.5138935322184,1.74291938997821,1.08597285067873,20.2283990519285,2.68428226905736,255,36,33,43,20.3863624227845,51.9953596755317,"FULLCVPTRRPPGOA"
"19",2019,"FULL","PLANT"," ","AFA","BSAI",224.907824662024,1.22900450634986,1.22900450634986,9.01269971323228,35.2314625153626,20.4834084391643,2441,64,61,66,52,713,"FULLPLANT AFABSAI"
"20",2019,"PARTIAL","CV","HAL","CDQ","BSAI",33.3333333333333,NA,NA,NA,NA,133.333333333333,30,5,5,5,2,5,"PARTIALCVHALCDQBSAI"
"21",2019,"PARTIAL","CV","HAL","IFQ","BSAI",86.1684113300493,1.03448275862069,63.75,NA,NA,6.25,200,20,17,26,4.96898790864308,31.440578817734,"PARTIALCVHALIFQBSAI"
"22",2019,"PARTIAL","CV","HAL","IFQ","GOA",50.3548650792963,6.62322127676407,37.3345935727788,0.630119722747322,5.6710775047259,56.4078328728612,1587,76,50,244,82.5881216484665,249.193453816299,"PARTIALCVHALIFQGOA"
"23",2019,"PARTIAL","CV","HAL","OA","BSAI",NA,NA,NA,NA,NA,NA,11,3,3,4,0,0,"PARTIALCVHALOABSAI"
"24",2019,"PARTIAL","CV","HAL","OA","GOA",54.0540540540541,NA,NA,NA,27.027027027027,432.432432432432,37,8,8,9,4,19,"PARTIALCVHALOAGOA"
"25",2019,"PARTIAL","CV","NPT","OA","BSAI",123.576850094877,17.4335863377609,NA,4.03225806451613,24.1935483870968,48.3870967741935,248,23,22,32,16.1470588235294,53.9705882352941,"PARTIALCVNPTOABSAI"
"26",2019,"PARTIAL","CV","NPT","OA","GOA",55.4608574410555,9.9009900990099,NA,19.5149949777586,19.8019801980198,96.0903782685961,303,44,29,70,31.3715294367468,60.8330678982853,"PARTIALCVNPTOAGOA"
"27",2019,"PARTIAL","CV","POT","CDQ","BSAI",NA,NA,NA,NA,NA,NA,20,3,3,3,0,0,"PARTIALCVPOTCDQBSAI"
"28",2019,"PARTIAL","CV","POT","IFQ","BSAI",250,NA,625,NA,125,NA,16,4,4,4,4,16,"PARTIALCVPOTIFQBSAI"
"29",2019,"PARTIAL","CV","POT","IFQ","GOA",40.9008113926147,10.5086170659941,32.7868852459016,NA,NA,NA,122,17,16,18,8.27195027195027,10.2719502719503,"PARTIALCVPOTIFQGOA"
"30",2019,"PARTIAL","CV","POT","OA","BSAI",123.674911660777,28.2685512367491,NA,NA,14.1342756183746,NA,283,30,25,47,29,47,"PARTIALCVPOTOABSAI"
