"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"1",2019,"FULL","CP/MS","HAL","CDQ","BSAI",519,30,27,30,9.9082854007715,29.8151502954328,"FULLCP/MSHALCDQBSAI",36.0019329589377,8.26078451928774,10.473790295047,1.06169635484251,0.204012240734444,1.44508670520231,3.24017396630439,0.743470606735897,0.942641126554229,0.0955526719358264,0.0183611016661,0.130057803468208,0.622833440189621,0.142911572183678,0.181196572104313,0.0183673469387755,0.00352941176470588,0.025,0.622833440189621,0.142911572183678,0.181196572104313,0.0183673469387755,0.00352941176470588,0.025
"2",2019,"FULL","CP/MS","HAL","IFQ","BSAI",49,3,3,3,0,0,"FULLCP/MSHALIFQBSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2019,"FULL","CP/MS","HAL","IFQ","GOA",172,4,4,4,5.22140034771614,7.27204046151415,"FULLCP/MSHALIFQGOA",22.8780494080372,11.9985040119679,NA,3.55297157622739,NA,3.84978001257071,2.05902444672334,1.07986536107711,NA,0.319767441860465,NA,0.346480201131364,0.983756124545598,0.51593567251462,NA,0.152777777777778,NA,0.165540540540541,0.983756124545598,0.51593567251462,NA,0.152777777777778,NA,0.165540540540541
"4",2019,"FULL","CP/MS","HAL","OA","BSAI",4299,99,76,103,89.2093720928958,696.046738879308,"FULLCP/MSHALOABSAI",128.722952383375,11.3474854107203,4.55084969455004,2.28840857890803,2.30149282322838,12.6977989853077,11.5850657145037,1.02127368696482,0.409576472509503,0.205956772101723,0.207134354090555,1.14280190867769,5.58969668985989,0.492755957380671,0.19761720037243,0.0993724088962184,0.0999405822935235,0.551392301392301,5.37262109025368,0.473619803695984,0.189942745989035,0.0955132862206371,0.0960593946316391,0.529979008134348
"5",2019,"FULL","CP/MS","HAL","OA","GOA",68,4,4,4,1.66094215861658,2.86607036374478,"FULLCP/MSHALOAGOA",NA,42.1480935844821,NA,NA,NA,NA,NA,3.79332842260339,NA,NA,NA,NA,NA,0.716517590936196,NA,NA,NA,NA,NA,0.716517590936196,NA,NA,NA,NA
"6",2019,"FULL","CP/MS","NPT","A80","BSAI",10460,218,163,232,296.893179336122,1416.06536307741,"FULLCP/MSNPTA80BSAI",18.7925751751613,20.8633047104107,47.3126474445489,13.3741464068833,20.6889262181868,14.3474978533568,1.69133176576452,1.87769742393697,4.2581382700094,1.2036731766195,1.86200335963682,1.29127480680211,0.901698790514621,1.00105581316925,2.27013895536689,0.64171363034862,0.992688845147864,0.688416640119781,0.847285932466325,0.940647272719381,2.13314781150854,0.602989531965513,0.932785207940665,0.646874256664277
"7",2019,"FULL","CP/MS","NPT","CDQ","BSAI",2186,102,87,102,43.317212985425,253.987063182409,"FULLCP/MSNPTCDQBSAI",7.55563010354972,11.8715455592006,67.2742036804657,7.28034064098197,10.6578941453486,11.5484294122693,0.680006709319475,1.06843910032805,6.05467833124192,0.655230657688377,0.95921047308137,1.03935864710424,0.161927523591762,0.254423515611887,1.44177852201469,0.156027692560653,0.22841330001698,0.247498693090399,0.161927523591762,0.254423515611887,1.44177852201469,0.156027692560653,0.22841330001698,0.247498693090399
"8",2019,"FULL","CP/MS","NPT","OA","BSAI",2211,90,80,90,53.3404773690815,239.026592150378,"FULLCP/MSNPTOABSAI",9.10790110750562,16.8382292762497,61.0719802052604,3.91387097393178,5.56113756491805,11.6147922924772,0.819711099675506,1.51544063486248,5.49647821847343,0.352248387653861,0.500502380842624,1.04533130632295,0.223750770541055,0.413659165886535,1.5003349803759,0.0961507635929242,0.13661861284482,0.285336730651857,0.223750770541055,0.413659165886535,1.5003349803759,0.0961507635929242,0.13661861284482,0.285336730651857
"9",2019,"FULL","CP/MS","NPT","OA","GOA",796,30,30,31,16.647801074411,62.2413812524286,"FULLCP/MSNPTOAGOA",30.6224709959271,15.2374936762894,6.0565783619539,25.0198655744082,1.25628140703518,NA,2.75602238963344,1.37137443086605,0.545092052575851,2.25178790169674,0.113065326633166,NA,0.812516230425265,0.404301498877546,0.160701212537177,0.663860433240964,0.0333333333333333,NA,0.786306029443805,0.391259515042787,0.155517302455332,0.642445580555772,0.032258064516129,NA
"10",2019,"FULL","CP/MS","NPT","RPP","GOA",278,11,11,11,6.89002388972798,11.8694185876458,"FULLCP/MSNPTRPPGOA",1.43884892086331,31.176372817957,7.84231914399846,2.23820943245404,NA,NA,0.129496402877698,2.80587355361613,0.705808722959861,0.201438848920863,NA,NA,0.0363636363636364,0.787911967581095,0.198196792911961,0.0565656565656566,NA,NA,0.0363636363636364,0.787911967581095,0.198196792911961,0.0565656565656566,NA,NA
