CALENDAR YEAR,COVERAGE TYPE,VESSEL TYPE,GEAR TYPE,MANAGEMENT PROGRAM CODE,NMFS REGION,ALL OTHER STATEMENT TYPES,COAST GUARD,LIMITED ACCESS PROGRAMS,OLE PRIORITY: INTER-PERSONAL,OLE PRIORITY: SAFETY AND DUTIES,PROTECTED RESOURCE & PROHIBITED SPECIES,TOTAL DAYS,TOTAL CRUISES,TOTAL OBSERVERS,DISTINCT OBSERVER ASSIGNMENTS,TOTAL STATEMENTS,TOTAL INCIDENTS,FACTOR GROUP
2020,FULL,CP/MS,HAL,CDQ,BSAI,12.85283515,9.226212803,59.02537804,NA,2.441860465,2.448320413,516,26,22,26,6.364671976,44.37321715,FULLCP/MSHALCDQBSAI
2020,FULL,CP/MS,HAL,IFQ,GOA,13.94808214,10.31182287,128.0898876,NA,3.487020535,NA,89,3,3,3,2.27100894,13.86947637,FULLCP/MSHALIFQGOA
2020,FULL,CP/MS,HAL,OA,BSAI,20.71152773,7.32511419,22.25283737,5.867560771,19.67858485,5.514575766,3579,71,54,73,62.20382526,291.1523682,FULLCP/MSHALOABSAI
2020,FULL,CP/MS,NPT,A80,BSAI,19.13940024,12.06842052,12.79773307,8.272888711,2.576122936,34.94923302,9909,165,136,167,217.3951118,889.8658392,FULLCP/MSNPTA80BSAI
2020,FULL,CP/MS,NPT,CDQ,BSAI,5.934941296,8.864016259,25.80822105,3.639182532,1.424995704,4.725977237,1641,75,70,75,24.4804809,82.70202522,FULLCP/MSNPTCDQBSAI
2020,FULL,CP/MS,NPT,OA,BSAI,5.82150848,7.563298367,22.71265421,1.663429819,1.39833145,7.388102127,1727,67,63,67,21.4503622,80.38722933,FULLCP/MSNPTOABSAI
2020,FULL,CP/MS,NPT,OA,GOA,160.5252792,5.09356852,7.432473829,7.220099377,1.951394425,5.198439275,635,26,25,26,10.4034204,119.0124967,FULLCP/MSNPTOAGOA
2020,FULL,CP/MS,NPT,RPP,GOA,2.070489845,11.79197263,4.981098966,1.981802748,4.478193662,2.305427344,300,11,11,11,5.280721215,8.282695558,FULLCP/MSNPTRPPGOA
2020,FULL,CP/MS,POT,CDQ,BSAI,NA,22.34636872,NA,NA,NA,NA,179,7,7,7,2,4,FULLCP/MSPOTCDQBSAI
2020,FULL,CP/MS,POT,OA,BSAI,243.5897436,6.41025641,NA,NA,NA,NA,156,12,12,12,2,39,FULLCP/MSPOTOABSAI
