CALENDAR YEAR,COVERAGE TYPE,VESSEL TYPE,GEAR TYPE,MANAGEMENT PROGRAM CODE,NMFS REGION,ALL OTHER STATEMENT TYPES,COAST GUARD,LIMITED ACCESS PROGRAMS,OLE PRIORITY: INTER-PERSONAL,OLE PRIORITY: SAFETY AND DUTIES,PROTECTED RESOURCE & PROHIBITED SPECIES,TOTAL DAYS,TOTAL CRUISES,TOTAL OBSERVERS,DISTINCT OBSERVER ASSIGNMENTS,TOTAL STATEMENTS,TOTAL INCIDENTS,FACTOR GROUP
2020,FULL,CP/MS,PTR,A80,BSAI,NA,2.551020408,NA,NA,NA,6.458279514,28,5,5,5,0.180831826,0.252260398,FULLCP/MSPTRA80BSAI
2020,FULL,CP/MS,PTR,AFA,BSAI,10.63544656,18.36880321,11.48085521,7.148933767,0.703605981,23.32706359,5685,91,74,94,106.7526267,407.4138668,FULLCP/MSPTRAFABSAI
2020,FULL,CP/MS,PTR,CDQ,BSAI,1.848132777,13.52757011,1.260989184,4.630962514,NA,22.13084011,1373,56,50,56,19.24737327,59.58613322,FULLCP/MSPTRCDQBSAI
2020,FULL,CP/MS,PTR,RPP,GOA,NA,23.48579931,9.689461086,NA,3.347997671,NA,41,4,4,4,0.809071618,1.497453581,FULLCP/MSPTRRPPGOA
2020,FULL,CV,NPT,OA,BSAI,7.295185746,6.703270314,NA,11.08158384,3.477371685,32.03805229,530,31,31,33,8.912750601,32.11559585,FULLCVNPTOABSAI
2020,FULL,CV,NPT,RPP,GOA,22.81927339,7.557603687,NA,16.15366146,1.19047619,2.285714286,350,32,30,40,11.8782727,17.50235516,FULLCVNPTRPPGOA
2020,FULL,CV,PTR,AFA,BSAI,46.81243014,11.80350068,0.219707789,6.824866589,7.81687279,10.10873693,9103,163,146,189,145.0872494,760.8844041,FULLCVPTRAFABSAI
2020,FULL,CV,PTR,RPP,GOA,39.35376522,3.565365025,NA,2.481203008,14.69298246,0.526315789,380,36,31,47,12.71836595,23.03545997,FULLCVPTRRPPGOA
2020,FULL,PLANT, ,AFA,BSAI,14.81633827,3.36935526,1.524722283,3.880176236,4.166596396,4.013115513,4591,66,56,67,65.80223413,145.8574655,FULLPLANT AFABSAI
2020,FULL,PLANT, ,OA,BSAI,7.263922518,1.503553855,NA,1.678133915,1.627118644,NA,118,10,10,10,0.811300908,1.424582014,FULLPLANT OABSAI
2020,FULL,PLANT, ,OA,GOA,261.3188802,1.592788996,NA,12.927166,160.799007,184.2068079,850,41,39,43,44.38646497,527.7179525,FULLPLANT OAGOA
2020,PARTIAL,CV,HAL,CDQ,BSAI,NA,NA,NA,NA,NA,NA,26,3,3,4,0,0,PARTIALCVHALCDQBSAI
2020,PARTIAL,CV,HAL,IFQ,BSAI,5.83090379,47.61904762,6.802721088,NA,6.802721088,NA,49,4,4,6,2.142857143,3.285714286,PARTIALCVHALIFQBSAI
2020,PARTIAL,CV,HAL,IFQ,GOA,82.73677542,14.781966,1.4781966,5.764966741,3.6954915,113.0820399,451,34,28,72,18.05714286,99.91428571,PARTIALCVHALIFQGOA
2020,PARTIAL,CV,NPT,OA,BSAI,64.1025641,NA,NA,51.28205128,12.82051282,NA,78,13,13,16,5,10,PARTIALCVNPTOABSAI
2020,PARTIAL,CV,NPT,OA,GOA,56.01698915,12.26993865,NA,6.134969325,NA,57.97546012,163,24,21,41,10.38076923,21.58076923,PARTIALCVNPTOAGOA
2020,PARTIAL,CV,POT,IFQ,BSAI,431.8181818,22.72727273,613.6363636,NA,NA,68.18181818,44,4,4,5,7,50,PARTIALCVPOTIFQBSAI
2020,PARTIAL,CV,POT,IFQ,GOA,186.9047619,NA,11.9047619,26.19047619,130.952381,NA,168,18,17,24,12.8,59.8,PARTIALCVPOTIFQGOA
2020,PARTIAL,CV,POT,OA,BSAI,71.42857143,23.80952381,NA,NA,NA,NA,126,16,15,22,6,12,PARTIALCVPOTOABSAI
2020,PARTIAL,CV,PTR,OA,GOA,61.78122007,7.299270073,NA,5.121756732,10.94890511,20.25547445,274,27,25,63,18.02259211,28.88141564,PARTIALCVPTROAGOA
2020,PARTIAL,PLANT, ,OA,GOA,42.55319149,NA,NA,NA,NA,21.27659574,282,5,5,6,11,18,PARTIALPLANT OAGOA
2021,FULL,CP/MS,HAL,CDQ,BSAI,4.427925823,3.323335537,15.9544511,2.95355773,0.307680474,5.303126724,486,23,22,23,4.548400552,15.68325761,FULLCP/MSHALCDQBSAI
2021,FULL,CP/MS,HAL,IFQ,BSAI,187.6331537,13.72801373,NA,NA,NA,3.206596427,37,3,3,3,0.999192897,7.569007264,FULLCP/MSHALIFQBSAI
2021,FULL,CP/MS,HAL,OA,BSAI,57.10114167,5.887003606,22.14228571,0.66773157,0.1783677,19.91502929,2777,49,44,51,33.32955917,294.0608609,FULLCP/MSHALOABSAI
2021,FULL,CP/MS,HAL,OA,GOA,14.77105106,5.387126134,NA,NA,NA,NA,86,4,4,4,0.926585695,1.733603239,FULLCP/MSHALOAGOA
2021,FULL,CP/MS,NPT,A80,BSAI,10.80398112,12.13108451,17.36749898,5.158311303,8.703179509,36.24377291,9478,161,132,167,193.4344703,856.8853969,FULLCP/MSNPTA80BSAI
2021,FULL,CP/MS,NPT,CDQ,BSAI,10.76843457,12.29909286,17.49325745,6.737681212,1.028767475,19.28777404,1339,71,65,71,26.23123171,90.53649519,FULLCP/MSNPTCDQBSAI
2021,FULL,CP/MS,NPT,OA,BSAI,3.83483074,23.75746174,9.952885299,7.28733811,1.589530933,11.69876801,1483,54,52,56,37.98134968,86.19316839,FULLCP/MSNPTOABSAI
2021,FULL,CP/MS,NPT,OA,GOA,15.21995394,2.317049062,3.626391174,2.139137519,0.515242593,14.82358956,685,22,22,22,8.047397875,26.46933424,FULLCP/MSNPTOAGOA
2021,FULL,CP/MS,NPT,RPP,GOA,3.929002677,1.648055688,27.43998395,7.8979406,1.072226359,30.6069458,395,16,16,16,7.955927922,28.67469125,FULLCP/MSNPTRPPGOA
2021,FULL,CP/MS,POT,CDQ,BSAI,86.12440191,13.08794314,NA,71.77033493,83.59914939,NA,209,6,6,6,5.911306043,53.20760234,FULLCP/MSPOTCDQBSAI
2021,FULL,CP/MS,POT,IFQ,GOA,NA,NA,NA,NA,NA,NA,126,3,3,3,0,0,FULLCP/MSPOTIFQGOA
2021,FULL,CP/MS,POT,OA,BSAI,NA,8.782082521,NA,NA,31.44290123,NA,144,7,7,7,2.088693957,5.792397661,FULLCP/MSPOTOABSAI
2021,FULL,CP/MS,PTR,A80,BSAI,7.751937984,8.261933905,41.59526724,NA,NA,6.201550388,10,3,3,3,0.227254182,0.638106895,FULLCP/MSPTRA80BSAI
2021,FULL,CP/MS,PTR,AFA,BSAI,59.14409949,19.65220311,1.451349947,8.797628114,11.38249303,118.332312,4869,86,77,88,97.56993631,1065.142857,FULLCP/MSPTRAFABSAI
2021,FULL,CP/MS,PTR,CDQ,BSAI,24.92159002,9.890299653,3.159339042,10.57377407,14.92260356,7.903592585,1245,51,46,51,19.43006369,88.85714267,FULLCP/MSPTRCDQBSAI
2021,FULL,CP/MS,PTR,RPP,GOA,9.537721258,NA,75.40042998,15.12287335,NA,NA,46,3,3,3,1.122368315,4.602807131,FULLCP/MSPTRRPPGOA
2021,FULL,CV,NPT,OA,BSAI,9.698349109,3.025386672,0.420278434,9.00470157,NA,6.871273363,423,22,22,25,5.398836611,12.27545541,FULLCVNPTOABSAI
2021,FULL,CV,NPT,RPP,GOA,16.71355339,10.92375367,0.448028674,9.350998464,13.70967742,31.05396066,372,34,33,40,16.07118391,30.57838968,FULLCVNPTRPPGOA
2021,FULL,CV,PTR,AFA,BSAI,44.14170115,4.351525206,3.212975877,1.904000752,2.092050209,2.346223005,4302,88,86,99,51.60116339,249.7245446,FULLCVPTRAFABSAI
2021,FULL,CV,PTR,OA,GOA,31.25,NA,5.208333333,NA,NA,NA,8,3,3,3,0.125,0.291666667,FULLCVPTROAGOA
2021,FULL,CV,PTR,RPP,GOA,36.77325581,7.979249012,2.151268116,6.851708075,10.59782609,11.18096006,368,39,38,51,18.47048276,27.79661032,FULLCVPTRRPPGOA
2021,FULL,PLANT, ,AFA,BSAI,17.12332879,2.408595947,5.568247783,7.870077719,13.98630753,4.152667958,3962,82,74,85,79.67323076,202.4947524,FULLPLANT AFABSAI
2021,FULL,PLANT, ,OA,BSAI,7.563146848,1.483679525,1.246866469,0.507156389,47.47774481,5.137927245,674,18,18,18,9.462473376,42.74273534,FULLPLANT OABSAI
2021,FULL,PLANT, ,OA,GOA,189.5486549,0.375014649,0.900914098,2.031934923,1.301271172,101.7917691,1219,35,32,43,26.86429586,360.7625123,FULLPLANT OAGOA
2021,PARTIAL,CV,HAL,IFQ,BSAI,34.7985348,12.82051282,NA,NA,NA,NA,156,11,11,14,1.285714286,7.428571429,PARTIALCVHALIFQBSAI
2021,PARTIAL,CV,HAL,IFQ,GOA,70.94464221,13.52356564,44.25665102,9.389671362,7.136150235,16.5258216,1065,60,48,172,58.59197469,172.2919747,PARTIALCVHALIFQGOA
2021,PARTIAL,CV,HAL,OA,GOA,181.8181818,NA,NA,22.72727273,NA,454.5454545,44,8,8,9,3,29,PARTIALCVHALOAGOA
2021,PARTIAL,CV,NPT,OA,BSAI,10.25641026,19.23076923,NA,NA,38.46153846,19.23076923,52,7,7,9,4.533333333,4.533333333,PARTIALCVNPTOABSAI
2021,PARTIAL,CV,NPT,OA,GOA,204.029304,NA,NA,25.64102564,38.46153846,44.71454471,117,20,19,32,14.41731602,36.6030303,PARTIALCVNPTOAGOA
2021,PARTIAL,CV,POT,IFQ,BSAI,78.94736842,26.31578947,26.31578947,NA,NA,26.31578947,38,7,7,9,6,6,PARTIALCVPOTIFQBSAI
2021,PARTIAL,CV,POT,IFQ,GOA,105.9187461,22.24852895,41.37622878,2.680965147,51.47453083,0.536193029,746,54,42,104,40.62231102,167.2794539,PARTIALCVPOTIFQGOA
2021,PARTIAL,CV,POT,OA,BSAI,7.874015748,NA,NA,NA,NA,NA,127,10,10,16,1,1,PARTIALCVPOTOABSAI
2021,PARTIAL,CV,POT,OA,GOA,1172.839506,61.72839506,NA,NA,24.69135802,NA,81,10,9,11,6.5,102,PARTIALCVPOTOAGOA
2021,PARTIAL,CV,PTR,OA,GOA,95.86834734,5.882352941,NA,2.941176471,27.94117647,20.88744589,340,29,27,64,24.38268398,52.1969697,PARTIALCVPTROAGOA
2021,PARTIAL,PLANT, ,OA,GOA,220.9302326,NA,NA,NA,NA,NA,344,5,5,6,2,76,PARTIALPLANT OAGOA
