"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"28",2020,"PARTIAL","CV","HAL","CDQ","BSAI",NA,NA,NA,NA,NA,NA,26,3,3,4,0,0,"PARTIALCVHALCDQBSAI"
"29",2020,"PARTIAL","CV","HAL","IFQ","BSAI",0.0476190476190476,0.388888888888889,0.0555555555555556,NA,0.0555555555555556,NA,49,4,4,6,2.14285714285714,3.28571428571429,"PARTIALCVHALIFQBSAI"
"30",2020,"PARTIAL","CV","HAL","IFQ","GOA",0.518253968253968,0.0925925925925926,0.00925925925925926,0.0361111111111111,0.0231481481481481,0.708333333333333,451,34,28,72,18.0571428571429,99.9142857142857,"PARTIALCVHALIFQGOA"
"31",2020,"PARTIAL","CV","NPT","OA","BSAI",0.3125,NA,NA,0.25,0.0625,NA,78,13,13,16,5,10,"PARTIALCVNPTOABSAI"
"32",2020,"PARTIAL","CV","NPT","OA","GOA",0.222701688555347,0.0487804878048781,NA,0.024390243902439,NA,0.230487804878049,163,24,21,41,10.3807692307692,21.5807692307692,"PARTIALCVNPTOAGOA"
"33",2020,"PARTIAL","CV","NPT","RPP","GOA",NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,"PARTIALCVNPTRPPGOA"
"34",2020,"PARTIAL","CV","POT","CDQ","BSAI",0.5,NA,2,NA,NA,NA,14,2,2,2,2,5,"PARTIALCVPOTCDQBSAI"
"35",2020,"PARTIAL","CV","POT","IFQ","BSAI",3.8,0.2,5.4,NA,NA,0.6,44,4,4,5,7,50,"PARTIALCVPOTIFQBSAI"
"36",2020,"PARTIAL","CV","POT","IFQ","GOA",1.30833333333333,NA,0.0833333333333333,0.183333333333333,0.916666666666667,NA,168,18,17,24,12.8,59.8,"PARTIALCVPOTIFQGOA"
"37",2020,"PARTIAL","CV","POT","OA","BSAI",0.409090909090909,0.136363636363636,NA,NA,NA,NA,126,16,15,22,6,12,"PARTIALCVPOTOABSAI"
"38",2020,"PARTIAL","CV","POT","OA","GOA",4.5,0.5,NA,NA,NA,NA,8,2,2,2,2,10,"PARTIALCVPOTOAGOA"
"39",2020,"PARTIAL","CV","PTR","OA","GOA",0.268699274581628,0.0317460317460317,NA,0.0222755768974256,0.0476190476190476,0.0880952380952381,274,27,25,63,18.0225921137686,28.8814156431803,"PARTIALCVPTROAGOA"
"40",2020,"PARTIAL","PLANT"," ","OA","GOA",2,NA,NA,NA,NA,1,282,5,5,6,11,18,"PARTIALPLANT OAGOA"
"41",2021,"FULL","CP/MS","HAL","CDQ","BSAI",0.0935639978262789,0.0702235248180733,0.337124488556129,0.0624099589967123,0.00650142218610321,0.112057373375168,486,23,22,23,4.5484005519089,15.6832576124447,"FULLCP/MSHALCDQBSAI"
"42",2021,"FULL","CP/MS","HAL","IFQ","BSAI",2.31414222939647,0.169312169312169,NA,NA,NA,0.0395480225988701,37,3,3,3,0.999192897497982,7.56900726392252,"FULLCP/MSHALIFQBSAI"
"43",2021,"FULL","CP/MS","HAL","IFQ","GOA",0.532710280373832,0.532710280373832,8.8785046728972,0.355140186915888,0.177570093457944,NA,49,2,2,2,3.19626168224299,20.9532710280374,"FULLCP/MSHALIFQGOA"
"44",2021,"FULL","CP/MS","HAL","OA","BSAI",3.10921314528815,0.320553117901897,1.20566916504735,0.0363586386126243,0.00971229613340663,1.08439286950146,2777,49,44,51,33.3295591733434,294.060860856729,"FULLCP/MSHALOABSAI"
"45",2021,"FULL","CP/MS","HAL","OA","GOA",0.317577597840756,0.115823211875843,NA,NA,NA,NA,86,4,4,4,0.926585695006748,1.7336032388664,"FULLCP/MSHALOAGOA"
"46",2021,"FULL","CP/MS","NPT","A80","BSAI",0.613174449436052,0.688493526642246,0.985683564769862,0.29275733250133,0.493944523287889,2.05699688418079,9478,161,132,167,193.434470319024,856.885396896634,"FULLCP/MSNPTA80BSAI"
"47",2021,"FULL","CP/MS","NPT","CDQ","BSAI",0.203083575950168,0.23195049781998,0.329908052398038,0.12706697384846,0.0194016851894349,0.363751118935033,1339,71,65,71,26.2312317065764,90.5364951940191,"FULLCP/MSNPTCDQBSAI"
"48",2021,"FULL","CP/MS","NPT","OA","BSAI",0.101554535486185,0.629148495758933,0.263573730319576,0.192984328887478,0.04209418525424,0.30980844561643,1483,54,52,56,37.9813496807523,86.1931683940792,"FULLCP/MSNPTOABSAI"
"49",2021,"FULL","CP/MS","NPT","OA","GOA",0.473894020418085,0.0721444821479139,0.112912634280107,0.0666049636637872,0.0160427807486631,0.461552674967309,685,22,22,22,8.04739787512331,26.469334236969,"FULLCP/MSNPTOAGOA"
"50",2021,"FULL","CP/MS","NPT","RPP","GOA",0.096997253598916,0.0406863747954173,0.677424603734775,0.19498040855138,0.0264705882352941,0.755608974358974,395,16,16,16,7.95592792164231,28.6746912523961,"FULLCP/MSNPTRPPGOA"
"51",2021,"FULL","CP/MS","POT","CDQ","BSAI",3,0.455896686159844,NA,2.5,2.91203703703704,NA,209,6,6,6,5.91130604288499,53.2076023391813,"FULLCP/MSPOTCDQBSAI"
"52",2021,"FULL","CP/MS","POT","IFQ","BSAI",NA,NA,NA,NA,NA,NA,42,2,2,2,0,0,"FULLCP/MSPOTIFQBSAI"
"53",2021,"FULL","CP/MS","POT","IFQ","GOA",NA,NA,NA,NA,NA,NA,126,3,3,3,0,0,"FULLCP/MSPOTIFQGOA"
"54",2021,"FULL","CP/MS","POT","OA","BSAI",NA,0.180659983291562,NA,NA,0.646825396825397,NA,144,7,7,7,2.08869395711501,5.79239766081871,"FULLCP/MSPOTOABSAI"
"55",2021,"FULL","CP/MS","PTR","A80","BSAI",0.0258397932816537,0.0275397796817625,0.138650890792874,NA,NA,0.020671834625323,10,3,3,3,0.227254181966544,0.638106895144839,"FULLCP/MSPTRA80BSAI"
"56",2021,"FULL","CP/MS","PTR","AFA","BSAI",3.27241614115271,1.08734746513502,0.0803025328744675,0.486768764642476,0.629788165535588,6.54727303672399,4869,86,77,88,97.5699363085147,1065.14285733365,"FULLCP/MSPTRAFABSAI"
"57",2021,"FULL","CP/MS","PTR","CDQ","BSAI",0.608379991736498,0.241439668002319,0.0771250413146444,0.258124484538473,0.364287086918985,0.192940642515464,1245,51,46,51,19.4300636914853,88.8571426663455,"FULLCP/MSPTRCDQBSAI"
"58",2021,"FULL","CP/MS","PTR","RPP","GOA",0.146245059288538,NA,1.15613992632626,0.231884057971014,NA,NA,46,3,3,3,1.1223683149149,4.60280713075744,"FULLCP/MSPTRRPPGOA"
"59",2021,"FULL","CV","HAL","IFQ","BSAI",NA,2,19,NA,NA,NA,22,1,1,1,3,21,"FULLCVHALIFQBSAI"
"60",2021,"FULL","CV","NPT","OA","BSAI",0.16409606692642,0.0511895424836601,0.00711111111111111,0.152359550561798,NA,0.116261945295653,423,22,22,25,5.39883661077192,12.2754554094661,"FULLCVNPTOABSAI"
"61",2021,"FULL","CV","NPT","OA","GOA",NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,"FULLCVNPTOAGOA"
"62",2021,"FULL","CV","NPT","RPP","GOA",0.155436046511628,0.101590909090909,0.00416666666666667,0.0869642857142857,0.1275,0.288801834130782,372,34,33,40,16.0711839058534,30.5783896845708,"FULLCVNPTRPPGOA"
"63",2021,"FULL","CV","PTR","AFA","BSAI",1.91815755885696,0.189093549877864,0.139618406285073,0.0827374872318693,0.0909090909090909,0.101954054218269,4302,88,86,99,51.6011633892281,249.724544590534,"FULLCVPTRAFABSAI"
"64",2021,"FULL","CV","PTR","OA","GOA",0.0833333333333333,NA,0.0138888888888889,NA,NA,NA,8,3,3,3,0.125,0.291666666666667,"FULLCVPTROAGOA"
"65",2021,"FULL","CV","PTR","RPP","GOA",0.265344277245782,0.0575757575757576,0.0155228758169935,0.0494397759103641,0.0764705882352941,0.0806783000281452,368,39,38,51,18.4704827608132,27.7966103154292,"FULLCVPTRRPPGOA"
"66",2021,"FULL","PLANT"," ","AFA","BSAI",0.798148572772437,0.112268907563025,0.259545855464773,0.366838210855222,0.651926475786497,0.193563181744055,3962,82,74,85,79.6732307630529,202.494752355811,"FULLPLANT AFABSAI"
"67",2021,"FULL","PLANT"," ","OA","BSAI",0.28319783197832,0.0555555555555556,0.0466882222100008,0.0189901892488099,1.77777777777778,0.19238683127572,674,18,18,18,9.46247337554495,42.7427353448313,"FULLPLANT OABSAI"
"68",2021,"FULL","PLANT"," ","OA","GOA",5.37348396136588,0.0106312292358804,0.0255398671096346,0.0576029923448264,0.0368895246080873,2.88567829276261,1219,35,32,43,26.8642958614021,360.762512299358,"FULLPLANT OAGOA"
"69",2021,"PARTIAL","CV","HAL","CDQ","BSAI",0.5,NA,NA,NA,NA,NA,11,2,2,2,1,1,"PARTIALCVHALCDQBSAI"
"70",2021,"PARTIAL","CV","HAL","IFQ","BSAI",0.387755102040816,0.142857142857143,NA,NA,NA,NA,156,11,11,14,1.28571428571429,7.42857142857143,"PARTIALCVHALIFQBSAI"
"71",2021,"PARTIAL","CV","HAL","IFQ","GOA",0.439279325325837,0.08373603141045,0.274031007751938,0.0581395348837209,0.0441860465116279,0.102325581395349,1065,60,48,172,58.5919746919747,172.291974691975,"PARTIALCVHALIFQGOA"
"72",2021,"PARTIAL","CV","HAL","OA","GOA",0.888888888888889,NA,NA,0.111111111111111,NA,2.22222222222222,44,8,8,9,3,29,"PARTIALCVHALOAGOA"
"73",2021,"PARTIAL","CV","NPT","OA","BSAI",0.0592592592592593,0.111111111111111,NA,NA,0.222222222222222,0.111111111111111,52,7,7,9,4.53333333333333,4.53333333333333,"PARTIALCVNPTOABSAI"
"74",2021,"PARTIAL","CV","NPT","OA","GOA",0.745982142857143,NA,NA,0.09375,0.140625,0.163487554112554,117,20,19,32,14.417316017316,36.6030303030303,"PARTIALCVNPTOAGOA"
"75",2021,"PARTIAL","CV","POT","CDQ","BSAI",NA,NA,NA,NA,NA,NA,5,2,2,2,0,0,"PARTIALCVPOTCDQBSAI"
"76",2021,"PARTIAL","CV","POT","IFQ","BSAI",0.333333333333333,0.111111111111111,0.111111111111111,NA,NA,0.111111111111111,38,7,7,9,6,6,"PARTIALCVPOTIFQBSAI"
"77",2021,"PARTIAL","CV","POT","IFQ","GOA",0.759763313609467,0.15959040959041,0.296794871794872,0.0192307692307692,0.369230769230769,0.00384615384615385,746,54,42,104,40.622311022311,167.279453879454,"PARTIALCVPOTIFQGOA"
"78",2021,"PARTIAL","CV","POT","OA","BSAI",0.0625,NA,NA,NA,NA,NA,127,10,10,16,1,1,"PARTIALCVPOTOABSAI"
"79",2021,"PARTIAL","CV","POT","OA","GOA",8.63636363636364,0.454545454545455,NA,NA,0.181818181818182,NA,81,10,9,11,6.5,102,"PARTIALCVPOTOAGOA"
"80",2021,"PARTIAL","CV","PTR","OA","GOA",0.509300595238095,0.03125,NA,0.015625,0.1484375,0.110964556277056,340,29,27,64,24.382683982684,52.1969696969697,"PARTIALCVPTROAGOA"
"81",2021,"PARTIAL","PLANT"," ","OA","GOA",12.6666666666667,NA,NA,NA,NA,NA,344,5,5,6,2,76,"PARTIALPLANT OAGOA"
