CALENDAR YEAR,COVERAGE TYPE,VESSEL TYPE,GEAR TYPE,MANAGEMENT PROGRAM CODE,NMFS REGION,ALL OTHER STATEMENT TYPES,COAST GUARD,LIMITED ACCESS PROGRAMS,OLE PRIORITY: INTER-PERSONAL,OLE PRIORITY: SAFETY AND DUTIES,PROTECTED RESOURCE & PROHIBITED SPECIES,TOTAL DAYS,TOTAL CRUISES,TOTAL OBSERVERS,DISTINCT OBSERVER ASSIGNMENTS,TOTAL STATEMENTS,TOTAL INCIDENTS,FACTOR GROUP
2020,FULL,PLANT, ,AFA,BSAI,1.015250881,0.230876269,0.104477612,0.265878942,0.285505135,0.274988259,4591,66,56,67,65.80223413,145.8574655,FULLPLANT AFABSAI
2020,FULL,PLANT, ,OA,BSAI,0.085714286,0.017741935,NA,0.01980198,0.0192,NA,118,10,10,10,0.811300908,1.424582014,FULLPLANT OABSAI
2020,FULL,PLANT, ,OA,GOA,5.165605771,0.031485364,NA,0.255537002,3.178585022,3.641297365,850,41,39,43,44.38646497,527.7179525,FULLPLANT OAGOA
2020,PARTIAL,CV,HAL,CDQ,BSAI,NA,NA,NA,NA,NA,NA,26,3,3,4,0,0,PARTIALCVHALCDQBSAI
2020,PARTIAL,CV,HAL,IFQ,BSAI,0.047619048,0.388888889,0.055555556,NA,0.055555556,NA,49,4,4,6,2.142857143,3.285714286,PARTIALCVHALIFQBSAI
2020,PARTIAL,CV,HAL,IFQ,GOA,0.518253968,0.092592593,0.009259259,0.036111111,0.023148148,0.708333333,451,34,28,72,18.05714286,99.91428571,PARTIALCVHALIFQGOA
2020,PARTIAL,CV,NPT,OA,BSAI,0.3125,NA,NA,0.25,0.0625,NA,78,13,13,16,5,10,PARTIALCVNPTOABSAI
2020,PARTIAL,CV,NPT,OA,GOA,0.222701689,0.048780488,NA,0.024390244,NA,0.230487805,163,24,21,41,10.38076923,21.58076923,PARTIALCVNPTOAGOA
2020,PARTIAL,CV,POT,IFQ,BSAI,3.8,0.2,5.4,NA,NA,0.6,44,4,4,5,7,50,PARTIALCVPOTIFQBSAI
2020,PARTIAL,CV,POT,IFQ,GOA,1.308333333,NA,0.083333333,0.183333333,0.916666667,NA,168,18,17,24,12.8,59.8,PARTIALCVPOTIFQGOA
2020,PARTIAL,CV,POT,OA,BSAI,0.409090909,0.136363636,NA,NA,NA,NA,126,16,15,22,6,12,PARTIALCVPOTOABSAI
2020,PARTIAL,CV,PTR,OA,GOA,0.268699275,0.031746032,NA,0.022275577,0.047619048,0.088095238,274,27,25,63,18.02259211,28.88141564,PARTIALCVPTROAGOA
2020,PARTIAL,PLANT, ,OA,GOA,2,NA,NA,NA,NA,1,282,5,5,6,11,18,PARTIALPLANT OAGOA
2021,FULL,CP/MS,HAL,CDQ,BSAI,0.093563998,0.070223525,0.337124489,0.062409959,0.006501422,0.112057373,486,23,22,23,4.548400552,15.68325761,FULLCP/MSHALCDQBSAI
2021,FULL,CP/MS,HAL,IFQ,BSAI,2.314142229,0.169312169,NA,NA,NA,0.039548023,37,3,3,3,0.999192897,7.569007264,FULLCP/MSHALIFQBSAI
2021,FULL,CP/MS,HAL,OA,BSAI,3.109213145,0.320553118,1.205669165,0.036358639,0.009712296,1.08439287,2777,49,44,51,33.32955917,294.0608609,FULLCP/MSHALOABSAI
2021,FULL,CP/MS,HAL,OA,GOA,0.317577598,0.115823212,NA,NA,NA,NA,86,4,4,4,0.926585695,1.733603239,FULLCP/MSHALOAGOA
2021,FULL,CP/MS,NPT,A80,BSAI,0.613174449,0.688493527,0.985683565,0.292757333,0.493944523,2.056996884,9478,161,132,167,193.4344703,856.8853969,FULLCP/MSNPTA80BSAI
2021,FULL,CP/MS,NPT,CDQ,BSAI,0.203083576,0.231950498,0.329908052,0.127066974,0.019401685,0.363751119,1339,71,65,71,26.23123171,90.53649519,FULLCP/MSNPTCDQBSAI
2021,FULL,CP/MS,NPT,OA,BSAI,0.101554535,0.629148496,0.26357373,0.192984329,0.042094185,0.309808446,1483,54,52,56,37.98134968,86.19316839,FULLCP/MSNPTOABSAI
2021,FULL,CP/MS,NPT,OA,GOA,0.47389402,0.072144482,0.112912634,0.066604964,0.016042781,0.461552675,685,22,22,22,8.047397875,26.46933424,FULLCP/MSNPTOAGOA
2021,FULL,CP/MS,NPT,RPP,GOA,0.096997254,0.040686375,0.677424604,0.194980409,0.026470588,0.755608974,395,16,16,16,7.955927922,28.67469125,FULLCP/MSNPTRPPGOA
2021,FULL,CP/MS,POT,CDQ,BSAI,3,0.455896686,NA,2.5,2.912037037,NA,209,6,6,6,5.911306043,53.20760234,FULLCP/MSPOTCDQBSAI
2021,FULL,CP/MS,POT,IFQ,GOA,NA,NA,NA,NA,NA,NA,126,3,3,3,0,0,FULLCP/MSPOTIFQGOA
2021,FULL,CP/MS,POT,OA,BSAI,NA,0.180659983,NA,NA,0.646825397,NA,144,7,7,7,2.088693957,5.792397661,FULLCP/MSPOTOABSAI
2021,FULL,CP/MS,PTR,A80,BSAI,0.025839793,0.02753978,0.138650891,NA,NA,0.020671835,10,3,3,3,0.227254182,0.638106895,FULLCP/MSPTRA80BSAI
2021,FULL,CP/MS,PTR,AFA,BSAI,3.272416141,1.087347465,0.080302533,0.486768765,0.629788166,6.547273037,4869,86,77,88,97.56993631,1065.142857,FULLCP/MSPTRAFABSAI
2021,FULL,CP/MS,PTR,CDQ,BSAI,0.608379992,0.241439668,0.077125041,0.258124485,0.364287087,0.192940643,1245,51,46,51,19.43006369,88.85714267,FULLCP/MSPTRCDQBSAI
2021,FULL,CP/MS,PTR,RPP,GOA,0.146245059,NA,1.156139926,0.231884058,NA,NA,46,3,3,3,1.122368315,4.602807131,FULLCP/MSPTRRPPGOA
2021,FULL,CV,NPT,OA,BSAI,0.164096067,0.051189542,0.007111111,0.152359551,NA,0.116261945,423,22,22,25,5.398836611,12.27545541,FULLCVNPTOABSAI
2021,FULL,CV,NPT,RPP,GOA,0.155436047,0.101590909,0.004166667,0.086964286,0.1275,0.288801834,372,34,33,40,16.07118391,30.57838968,FULLCVNPTRPPGOA
2021,FULL,CV,PTR,AFA,BSAI,1.918157559,0.18909355,0.139618406,0.082737487,0.090909091,0.101954054,4302,88,86,99,51.60116339,249.7245446,FULLCVPTRAFABSAI
2021,FULL,CV,PTR,OA,GOA,0.083333333,NA,0.013888889,NA,NA,NA,8,3,3,3,0.125,0.291666667,FULLCVPTROAGOA
2021,FULL,CV,PTR,RPP,GOA,0.265344277,0.057575758,0.015522876,0.049439776,0.076470588,0.0806783,368,39,38,51,18.47048276,27.79661032,FULLCVPTRRPPGOA
2021,FULL,PLANT, ,AFA,BSAI,0.798148573,0.112268908,0.259545855,0.366838211,0.651926476,0.193563182,3962,82,74,85,79.67323076,202.4947524,FULLPLANT AFABSAI
2021,FULL,PLANT, ,OA,BSAI,0.283197832,0.055555556,0.046688222,0.018990189,1.777777778,0.192386831,674,18,18,18,9.462473376,42.74273534,FULLPLANT OABSAI
2021,FULL,PLANT, ,OA,GOA,5.373483961,0.010631229,0.025539867,0.057602992,0.036889525,2.885678293,1219,35,32,43,26.86429586,360.7625123,FULLPLANT OAGOA
2021,PARTIAL,CV,HAL,IFQ,BSAI,0.387755102,0.142857143,NA,NA,NA,NA,156,11,11,14,1.285714286,7.428571429,PARTIALCVHALIFQBSAI
2021,PARTIAL,CV,HAL,IFQ,GOA,0.439279325,0.083736031,0.274031008,0.058139535,0.044186047,0.102325581,1065,60,48,172,58.59197469,172.2919747,PARTIALCVHALIFQGOA
2021,PARTIAL,CV,HAL,OA,GOA,0.888888889,NA,NA,0.111111111,NA,2.222222222,44,8,8,9,3,29,PARTIALCVHALOAGOA
2021,PARTIAL,CV,NPT,OA,BSAI,0.059259259,0.111111111,NA,NA,0.222222222,0.111111111,52,7,7,9,4.533333333,4.533333333,PARTIALCVNPTOABSAI
2021,PARTIAL,CV,NPT,OA,GOA,0.745982143,NA,NA,0.09375,0.140625,0.163487554,117,20,19,32,14.41731602,36.6030303,PARTIALCVNPTOAGOA
2021,PARTIAL,CV,POT,IFQ,BSAI,0.333333333,0.111111111,0.111111111,NA,NA,0.111111111,38,7,7,9,6,6,PARTIALCVPOTIFQBSAI
2021,PARTIAL,CV,POT,IFQ,GOA,0.759763314,0.15959041,0.296794872,0.019230769,0.369230769,0.003846154,746,54,42,104,40.62231102,167.2794539,PARTIALCVPOTIFQGOA
2021,PARTIAL,CV,POT,OA,BSAI,0.0625,NA,NA,NA,NA,NA,127,10,10,16,1,1,PARTIALCVPOTOABSAI
2021,PARTIAL,CV,POT,OA,GOA,8.636363636,0.454545455,NA,NA,0.181818182,NA,81,10,9,11,6.5,102,PARTIALCVPOTOAGOA
2021,PARTIAL,CV,PTR,OA,GOA,0.509300595,0.03125,NA,0.015625,0.1484375,0.110964556,340,29,27,64,24.38268398,52.1969697,PARTIALCVPTROAGOA
2021,PARTIAL,PLANT, ,OA,GOA,12.66666667,NA,NA,NA,NA,NA,344,5,5,6,2,76,PARTIALPLANT OAGOA
