"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"1",2020,"FULL","CP/MS","HAL","CDQ","BSAI",516,26,22,26,6.36467197612359,44.3732171457171,"FULLCP/MSHALCDQBSAI",12.85283515216,9.2262128032008,59.0253780376311,NA,2.44186046511628,2.44832041343669,1.1567551636944,0.830359152288072,5.3122840233868,NA,0.219767441860465,0.220348837209302,0.255079343789021,0.183104838709677,1.17142673336222,NA,0.0484615384615385,0.0485897435897436,0.255079343789021,0.183104838709677,1.17142673336222,NA,0.0484615384615385,0.0485897435897436
"2",2020,"FULL","CP/MS","HAL","IFQ","BSAI",9,2,2,2,0.160493827160494,1.60493827160494,"FULLCP/MSHALIFQBSAI",NA,11.6598079561043,166.666666666667,NA,NA,NA,NA,1.04938271604938,15,NA,NA,NA,NA,0.0524691358024691,0.75,NA,NA,NA,NA,0.0524691358024691,0.75,NA,NA,NA
"3",2020,"FULL","CP/MS","HAL","IFQ","GOA",89,3,3,3,2.27100893997446,13.8694763729246,"FULLCP/MSHALIFQGOA",13.9480821387059,10.3118228650968,128.089887640449,NA,3.48702053467648,NA,1.25532739248353,0.928064057858711,11.5280898876404,NA,0.313831848120883,NA,0.413793103448276,0.305917411664538,3.8,NA,0.103448275862069,NA,0.413793103448276,0.305917411664538,3.8,NA,0.103448275862069,NA
"4",2020,"FULL","CP/MS","HAL","OA","BSAI",3579,71,54,73,62.2038252567415,291.152368209753,"FULLCP/MSHALOABSAI",20.7115277315285,7.3251141902626,22.2528373659073,5.86756077116513,19.6785848483973,5.51457576604266,1.86403749583757,0.659260277123634,2.00275536293166,0.528080469404862,1.77107263635575,0.496311818943839,1.04403602466395,0.369247657562674,1.12173105538848,0.295774647887324,0.991966974259349,0.277981220657277,1.01543229796083,0.359131283382874,1.09099869770661,0.287671232876712,0.964789796882381,0.270365296803653
"5",2020,"FULL","CP/MS","NPT","A80","BSAI",9909,165,136,167,217.395111844658,889.865839243426,"FULLCP/MSNPTA80BSAI",19.1394002385952,12.0684205164731,12.7977330668024,8.27288871113765,2.57612293584648,34.9492330217524,1.72254602147357,1.08615784648258,1.15179597601222,0.744559984002389,0.231851064226183,3.14543097195771,1.14940798160145,0.724763508471101,0.768562042175425,0.496824571143412,0.154707891947289,2.09886030310633,1.13564261655233,0.716083705974441,0.759357706340989,0.490874576279419,0.152855102822172,2.07372425157212
"6",2020,"FULL","CP/MS","NPT","CDQ","BSAI",1641,75,70,75,24.4804809027138,82.7020252197225,"FULLCP/MSNPTCDQBSAI",5.93494129605798,8.86401625884038,25.8082210480876,3.63918253232607,1.42499570421272,4.72597723708859,0.534144716645218,0.797761463295634,2.32273989432788,0.327526427909347,0.128249613379145,0.425337951337973,0.129856515557749,0.193944675743427,0.564683876532156,0.0796253138072945,0.0311789060081743,0.103404381947498,0.129856515557749,0.193944675743427,0.564683876532156,0.0796253138072945,0.0311789060081743,0.103404381947498
"7",2020,"FULL","CP/MS","NPT","OA","BSAI",1727,67,63,67,21.4503621951802,80.3872293342442,"FULLCP/MSNPTOABSAI",5.82150848005154,7.56329836670202,22.7126542129158,1.66342981863465,1.39833145044494,7.38810212651696,0.523935763204639,0.680696853003182,2.04413887916242,0.149708683677118,0.125849830540045,0.664929191386527,0.150055897687299,0.194952481780513,0.585444086950829,0.0428767656236125,0.0360435584316181,0.190436602574549,0.150055897687299,0.194952481780513,0.585444086950829,0.0428767656236125,0.0360435584316181,0.190436602574549
"8",2020,"FULL","CP/MS","NPT","OA","GOA",635,26,25,26,10.4034203982418,119.012496666075,"FULLCP/MSNPTOAGOA",160.525279166102,5.09356852038089,7.43247382862782,7.22009937726133,1.95139442521141,5.19843927466081,14.4472751249492,0.45842116683428,0.668922644576503,0.64980894395352,0.175625498269027,0.467859534719473,3.92052124117211,0.124400615786226,0.181523880045333,0.176337042483113,0.0476590561542018,0.126961882284985,3.92052124117211,0.124400615786226,0.181523880045333,0.176337042483113,0.0476590561542018,0.126961882284985
"9",2020,"FULL","CP/MS","NPT","RPP","GOA",300,11,11,11,5.28072121476745,8.28269555779971,"FULLCP/MSNPTRPPGOA",2.07048984468339,11.7919726282105,4.98109896583226,1.9818027481564,4.47819366215751,2.30542734362566,0.186344086021505,1.06127753653894,0.448298906924904,0.178362247334076,0.403037429594176,0.207488460926309,0.0564679048550016,0.321599253496649,0.135848153613607,0.0540491658588109,0.122132554422477,0.0628752911897906,0.0564679048550016,0.321599253496649,0.135848153613607,0.0540491658588109,0.122132554422477,0.0628752911897906
"10",2020,"FULL","CP/MS","POT","CDQ","BSAI",179,7,7,7,2,4,"FULLCP/MSPOTCDQBSAI",NA,22.3463687150838,NA,NA,NA,NA,NA,2.01117318435754,NA,NA,NA,NA,NA,0.571428571428571,NA,NA,NA,NA,NA,0.571428571428571,NA,NA,NA,NA
