"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"11",2020,"FULL","CP/MS","POT","IFQ","BSAI",NA,NA,NA,NA,NA,NA,26,2,2,2,0,0,"FULLCP/MSPOTIFQBSAI"
"12",2020,"FULL","CP/MS","POT","IFQ","GOA",NA,NA,NA,NA,NA,NA,49,1,1,1,0,0,"FULLCP/MSPOTIFQGOA"
"13",2020,"FULL","CP/MS","POT","OA","BSAI",243.589743589744,6.41025641025641,NA,NA,NA,NA,156,12,12,12,2,39,"FULLCP/MSPOTOABSAI"
"14",2020,"FULL","CP/MS","PTR","A80","BSAI",NA,2.55102040816327,NA,NA,NA,6.45827951433738,28,5,5,5,0.180831826401447,0.252260397830018,"FULLCP/MSPTRA80BSAI"
"15",2020,"FULL","CP/MS","PTR","AFA","BSAI",10.6354465606801,18.3688032091813,11.4808552068083,7.14893376747063,0.703605980650836,23.3270635925567,5685,91,74,94,106.752626733757,407.413866784122,"FULLCP/MSPTRAFABSAI"
"16",2020,"FULL","CP/MS","PTR","CDQ","BSAI",1.84813277679067,13.5275701061941,1.26098918375441,4.63096251415112,NA,22.1308401138494,1373,56,50,56,19.247373266243,59.5861332158776,"FULLCP/MSPTRCDQBSAI"
"17",2020,"FULL","CP/MS","PTR","RPP","GOA",NA,23.4857993142266,9.68946108559229,NA,3.34799767095814,NA,41,4,4,4,0.809071618037135,1.49745358090186,"FULLCP/MSPTRRPPGOA"
"18",2020,"FULL","CV","HAL","IFQ","BSAI",NA,NA,NA,NA,NA,NA,23,1,1,1,0,0,"FULLCVHALIFQBSAI"
"19",2020,"FULL","CV","NPT","OA","BSAI",7.29518574560726,6.70327031411127,NA,11.0815838426787,3.47737168491885,32.0380522855308,530,31,31,33,8.91275060122951,32.1155958526089,"FULLCVNPTOABSAI"
"20",2020,"FULL","CV","NPT","OA","GOA",NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,"FULLCVNPTOAGOA"
"21",2020,"FULL","CV","NPT","RPP","GOA",22.8192733894821,7.55760368663594,NA,16.1536614645858,1.19047619047619,2.28571428571429,350,32,30,40,11.8782727024188,17.502355155913,"FULLCVNPTRPPGOA"
"22",2020,"FULL","CV","PTR","AFA","BSAI",46.8124301389463,11.8035006847766,0.219707788641107,6.82486658940792,7.81687278995859,10.1087369316345,9103,163,146,189,145.08724939877,760.884404147391,"FULLCVPTRAFABSAI"
"23",2020,"FULL","CV","PTR","OA","BSAI",NA,NA,NA,NA,NA,NA,19,1,1,1,0,0,"FULLCVPTROABSAI"
"24",2020,"FULL","CV","PTR","RPP","GOA",39.3537652217618,3.56536502546689,NA,2.4812030075188,14.6929824561403,0.526315789473684,380,36,31,47,12.7183659530434,23.0354599701374,"FULLCVPTRRPPGOA"
