"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"11","FULL","CP/MS","POT","OA","BSAI",152,11,11,11,3.28235294117647,3.47058823529412,"FULLCP/MSPOTOABSAI",6.88854489164087,7.5077399380805,6.88854489164087,0.928792569659443,NA,0.619195046439629,0.619969040247678,0.675696594427245,0.619969040247678,0.0835913312693498,NA,0.0557275541795666,0.0951871657754011,0.103743315508021,0.0951871657754011,0.0128342245989305,NA,0.00855614973262032,0.0951871657754011,0.103743315508021,0.0951871657754011,0.0128342245989305,NA,0.00855614973262032
"12","FULL","CP/MS","PTR","AFA","BSAI",4842,108,97,113,158.975667374099,1849.42862632327,"FULLCP/MSPTRAFABSAI",39.3438364259337,28.0939398835725,233.775870536448,7.82807301952673,4.84731167713211,68.0664881441417,3.54094527833404,2.52845458952152,21.0398283482803,0.704526571757406,0.43625805094189,6.12598393297275,1.76391533309603,1.25954497144683,10.4809515290507,0.350958607042115,0.217321140191423,3.05164755179569,1.68586598207408,1.20381289306423,10.0171926118361,0.335429465137597,0.207705160536935,2.91661889906136
"13","FULL","CP/MS","PTR","CDQ","BSAI",1256,66,61,67,29.6198382438786,122.065755699207,"FULLCP/MSPTRCDQBSAI",38.6123758165835,21.0696855941194,22.3385627886307,4.0576993944678,2.01378730838085,9.09400032330095,3.47511382349251,1.89627170347074,2.01047065097677,0.365192945502102,0.181240857754276,0.818460029097086,0.734805212509528,0.400962501609302,0.425109619129094,0.0772192490825993,0.0383229827170658,0.173061581910091,0.723837970531774,0.394977986659909,0.4187646994406,0.0760667229768888,0.0377509979003932,0.170478573224866
"14","FULL","CV","NPT","OA","BSAI",385,22,20,22,11.9419614555216,49.217772870004,"FULLCVNPTOABSAI",58.4391964702366,31.5329294888607,NA,16.9048289172128,NA,20.9614162146094,5.2595276823213,2.83796365399746,NA,1.52143460254915,NA,1.88652745931485,1.02268593822914,0.551826266055062,NA,0.295834506051224,NA,0.366824783755665,1.02268593822914,0.551826266055062,NA,0.295834506051224,NA,0.366824783755665
"15","FULL","CV","NPT","RPP","GOA",530,37,36,52,33.43653930108,105.561356150897,"FULLCVNPTRPPGOA",123.216230076334,9.90652678917412,2.93501048218029,2.00290275761974,47.1373280807243,13.974371909999,11.0894607068701,0.891587411025671,0.264150943396226,0.180261248185776,4.24235952726519,1.25769347189991,1.76498924163398,0.141904302655737,0.042042042042042,0.0286902286902287,0.675210375210375,0.200173435467553,1.25585772962418,0.100970369197352,0.0299145299145299,0.020414201183432,0.480438151591998,0.142431098313451
"16","FULL","CV","PTR","AFA","BSAI",8547,234,189,281,204.13189062308,682.286848439367,"FULLCVPTRAFABSAI",55.1530615480597,9.91204979642047,2.10600210600211,3.52792550934966,1.999801999802,7.12880013541305,4.96377553932538,0.892084481677843,0.18954018954019,0.317513295841469,0.17998217998218,0.641592012187175,2.01450092756952,0.362043972692332,0.0769230769230769,0.128859740719707,0.0730440499671269,0.260383994689638,1.67755593256678,0.301488575124576,0.0640569395017794,0.107306688001465,0.0608267177662195,0.216832223335855
"17","FULL","CV","PTR","RPP","GOA",247,36,33,43,19.3843454624235,48.8287593818374,"FULLCVPTRRPPGOA",160.719948215953,11.7047503583829,1.79937022042285,1.12114606041732,19.9389005057021,2.40316958583212,14.4647953394358,1.05342753225446,0.161943319838057,0.100903145437558,1.79450104551319,0.216285262724891,1.10271742248168,0.0803075927366826,0.0123456790123457,0.00769230769230769,0.136803011803012,0.0164884135472371,0.923205283938148,0.067234263686525,0.0103359173126615,0.00644007155635063,0.114532754067638,0.013804253202338
"18","FULL","PLANT",NA,"AFA","BSAI",2441,64,61,66,52,713,"FULLPLANTNAAFABSAI",224.907824662024,1.22900450634986,1.22900450634986,9.01269971323228,35.2314625153626,20.4834084391643,20.2417042195821,0.110610405571487,0.110610405571487,0.811142974190905,3.17083162638263,1.84350675952478,8.578125,0.046875,0.046875,0.34375,1.34375,0.78125,8.31818181818182,0.0454545454545455,0.0454545454545455,0.333333333333333,1.3030303030303,0.757575757575758
"19","PARTIAL","CV","HAL","CDQ","BSAI",32,5,5,5,2,5,"PARTIALCVHALCDQBSAI",31.25,NA,NA,NA,NA,125,2.8125,NA,NA,NA,NA,11.25,0.2,NA,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.8
"20","PARTIAL","CV","HAL","IFQ","BSAI",196,20,17,26,4.96898790864308,31.440578817734,"PARTIALCVHALIFQBSAI",87.926950336785,1.05559465165377,65.0510204081633,NA,NA,6.37755102040816,7.91342553031065,0.0950035186488389,5.85459183673469,NA,NA,0.573979591836735,0.861684113300493,0.0103448275862069,0.6375,NA,NA,0.0625,0.662833933308071,0.00795755968169761,0.490384615384615,NA,NA,0.0480769230769231
