"","FACTOR","VALUE","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES"
"1","ALL DEPLOYED DAYS","ALL DEPLOYED DAYS",61.2751794540622,16.5917389036537,51.6628995802389,7.77427286952634,11.4999627431013,22.37897717394
"2","COVERAGE_TYPE","FULL",61.1583859456492,17.4306889925885,54.7351084271205,8.26242108152621,11.6387592643426,19.8188306340928
"3","COVERAGE_TYPE","PARTIAL",62.3858000522057,8.61393891934221,22.44844688071,3.13234142521535,10.1801096319499,46.7240929261289
"4","GEAR_TYPE","HAL",97.7086035451794,9.79968295143392,13.9789595042513,1.72935581495893,2.88225969159821,23.9227554402652
"5","GEAR_TYPE","NPT",31.0588235294118,23.6638655462185,52.8403361344538,13.781512605042,20.436974789916,19.0924369747899
"6","GEAR_TYPE","PLANT",224.622910721565,1.22299225438239,1.22299225438239,8.96860986547085,35.8744394618834,20.3832042397065
"7","GEAR_TYPE","POT",64.5554202192448,32.8867235079172,23.142509135201,6.09013398294762,7.30816077953715,9.7442143727162
"8","GEAR_TYPE","PTR",59.2057761732852,17.6567115195274,77.4532326878897,5.57925828683951,5.57925828683951,29.0121430915655
"9","MANAGEMENT_PROGRAM","A80",23.8734419942474,25.8868648130393,74.4007670182167,17.4496644295302,24.1610738255034,15.2444870565676
"10","MANAGEMENT_PROGRAM","AFA",54.8476041433788,19.2264699306953,87.7859751099188,5.96169610254117,3.27893285639764,30.6282137268053
"11","MANAGEMENT_PROGRAM","AFA PLANT",224.622910721565,1.22299225438239,1.22299225438239,8.96860986547085,35.8744394618834,20.3832042397065
"12","MANAGEMENT_PROGRAM","CDQ",63.5491606714628,51.7985611510791,142.20623501199,17.7458033573141,19.9040767386091,20.1438848920863
"13","MANAGEMENT_PROGRAM","IFQ",53.6205316223648,7.33272227314391,39.87167736022,1.37488542621448,5.04124656278643,43.0797433547204
"14","MANAGEMENT_PROGRAM","OA",90.5564063297601,24.8085758039816,58.7034201123022,11.7406840224604,11.0260336906585,25.2169474221542
"15","MANAGEMENT_PROGRAM","RPP",108.823529411765,30.3921568627451,21.5686274509804,4.90196078431373,32.3529411764706,7.84313725490196
"16","NMFS_REGION","AI",43.7956204379562,50.7473062217588,174.487313173445,38.2342718109142,33.0205074730622,11.4702815432742
"17","NMFS_REGION","BS",56.2460219088138,20.4683260192288,67.6359250946367,7.47043650128974,9.04492311815349,23.0478040936652
"18","NMFS_REGION","GOA",69.242840329541,15.6924284032954,20.2040015692428,15.300117693213,13.3385641428011,33.9348764221263
"19","NMFS_REGION","PLANT",224.622910721565,1.22299225438239,1.22299225438239,8.96860986547085,35.8744394618834,20.3832042397065
"20","OBSERVER_ROLE","LEAD",84.5628280027725,22.8735518368155,103.673631052579,10.4960887216556,21.3882562629963,26.8343400336667
"21","OBSERVER_ROLE","SECOND",40.8999817817453,22.4995445436327,118.05429039898,18.6737110584806,24.6857351065768,30.971032975041
"22","OBSERVER_ROLE","SOLE",74.0933451272179,11.0827826629898,6.92023518393257,3.27800613975753,5.20318434882148,16.1298714813466
"23","VESSEL_TYPE","CP/MS",44.4059976931949,21.7086834733894,81.1913000494315,9.92750041192948,11.9047619047619,24.550996869336
"24","VESSEL_TYPE","CV",61.9272834762046,10.1980490688738,7.8332840673958,3.69494531480934,6.35530594147207,18.8442211055276
"25","VESSEL_TYPE","PLANT",224.622910721565,1.22299225438239,1.22299225438239,8.96860986547085,35.8744394618834,20.3832042397065
