"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","UNKNOWN","CALENDAR_YEAR","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"35","FULL","CV","PTR","AFA","BSAI",2,2,2,2,2,2,0,2020,9103,163,146,189,145.08724939877,760.884404147391,"FULLCVPTRAFABSAI"
"36","FULL","CV","PTR","RPP","GOA",2,2,1,2,2,2,0,2019,255,36,33,43,20.3863624227845,51.9953596755317,"FULLCVPTRRPPGOA"
"37","FULL","CV","PTR","RPP","GOA",2,2,1,2,2,2,0,2020,378,36,31,47,12.9434371781146,23.4115283462058,"FULLCVPTRRPPGOA"
"38","FULL","PLANT"," ","AFA","BSAI",2,2,2,2,2,2,0,2020,4859,68,58,69,70.7849771303778,153.206460746099,"FULLPLANT AFABSAI"
"39","FULL","PLANT"," ","AFA","BSAI",2,2,2,2,2,2,0,2019,2441,64,61,66,52,713,"FULLPLANT AFABSAI"
"40","FULL","PLANT"," ","OA","BSAI",1,1,0,1,1,1,0,2020,148,13,10,13,2.21502286962218,3.79353925390067,"FULLPLANT OABSAI"
"41","FULL","PLANT"," ","OA","GOA",1,0,0,1,1,1,0,2020,553,14,14,15,38,518,"FULLPLANT OAGOA"
"42","PARTIAL","CV","HAL","CDQ","BSAI",1,0,0,0,0,1,0,2020,26,3,3,4,0,0,"PARTIALCVHALCDQBSAI"
"43","PARTIAL","CV","HAL","CDQ","BSAI",1,0,0,0,0,1,0,2019,30,5,5,5,2,5,"PARTIALCVHALCDQBSAI"
"44","PARTIAL","CV","HAL","IFQ","BSAI",2,2,2,0,1,1,0,2020,49,4,4,6,2.14285714285714,3.28571428571429,"PARTIALCVHALIFQBSAI"
"45","PARTIAL","CV","HAL","IFQ","BSAI",2,2,2,0,1,1,0,2019,200,20,17,26,4.96898790864308,31.440578817734,"PARTIALCVHALIFQBSAI"
"46","PARTIAL","CV","HAL","IFQ","GOA",2,2,2,2,2,2,0,2020,452,34,28,72,18.3238095238095,100.180952380952,"PARTIALCVHALIFQGOA"
"47","PARTIAL","CV","HAL","IFQ","GOA",2,2,2,2,2,2,0,2019,1587,76,50,244,82.5881216484665,249.193453816299,"PARTIALCVHALIFQGOA"
"48","PARTIAL","CV","HAL","OA","BSAI",NA,NA,NA,NA,NA,NA,NA,2019,11,3,3,4,0,0,"PARTIALCVHALOABSAI"
"49","PARTIAL","CV","HAL","OA","GOA",1,0,0,0,1,1,0,2019,37,8,8,9,4,19,"PARTIALCVHALOAGOA"
"50","PARTIAL","CV","NPT","OA","BSAI",2,1,0,2,2,1,0,2019,248,23,22,32,16.1470588235294,53.9705882352941,"PARTIALCVNPTOABSAI"
"51","PARTIAL","CV","NPT","OA","BSAI",2,1,0,2,2,1,0,2020,78,13,13,16,5,10,"PARTIALCVNPTOABSAI"
