"","COVERAGE_TYPE","OBSERVER_ROLE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL_OTHER_STATEMENT_TYPES_1000_DEPLOYED_DAYS","COAST_GUARD_1000_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_1000_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_1000_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_1000_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_1000_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_90_DEPLOYED_DAYS","COAST_GUARD_90_DEPLOYED_DAYS","LIMITED_ACCESS_PROGRAMS_90_DEPLOYED_DAYS","OLE_PRIORITY_INTER_PERSONAL_90_DEPLOYED_DAYS","OLE_PRIORITY_SAFETY_AND_DUTIES_90_DEPLOYED_DAYS","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_90_DEPLOYED_DAYS","ALL_OTHER_STATEMENT_TYPES_CRUISE","COAST_GUARD_CRUISE","LIMITED_ACCESS_PROGRAMS_CRUISE","OLE_PRIORITY_INTER_PERSONAL_CRUISE","OLE_PRIORITY_SAFETY_AND_DUTIES_CRUISE","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_CRUISE","ALL_OTHER_STATEMENT_TYPES_ASSIGNMENT","COAST_GUARD_ASSIGNMENT","LIMITED_ACCESS_PROGRAMS_ASSIGNMENT","OLE_PRIORITY_INTER_PERSONAL_ASSIGNMENT","OLE_PRIORITY_SAFETY_AND_DUTIES_ASSIGNMENT","PROTECTED_RESOURCE_AND_PROHIBITED_SPECIES_ASSIGNMENT"
"1","FULL","LEAD","CP/MS","Non-Pelagic Trawl","A80","BSAI",34.262715934813,21.7461440422143,59.4283877319455,10.6871306218818,15.2615184570875,8.97663562789745,3.08364443413317,1.95715296379929,5.3485548958751,0.961841755969358,1.37353666113788,0.80789720651077,1.68122444366411,1.06705344050277,2.91606941763125,0.52440283100508,0.74886176350709,0.440471189388497,1.58782308568277,1.00777269380817,2.75406556109618,0.495269340393687,0.70725833220114,0.416000567755803
"2","FULL","LEAD","CP/MS","Non-Pelagic Trawl","CDQ","BSAI",12.8128920208033,13.7912948902378,102.066027543865,2.07017089839751,12.242804510339,1.33209505704817,1.15316028187229,1.24121654012141,9.18594247894785,0.186315380855776,1.10185240593051,0.119888555134336,0.267077615900299,0.287471880156513,2.12750964080323,0.0431515622821526,0.255194458459956,0.0277667814113597,0.267077615900299,0.287471880156513,2.12750964080323,0.0431515622821526,0.255194458459956,0.0277667814113597
"3","FULL","LEAD","CP/MS","Non-Pelagic Trawl","CGOA Rockfish","GOA",NA,39.8929932824212,5.93088836501447,NA,NA,NA,NA,3.59036939541791,0.533779952851303,NA,NA,NA,NA,0.917538845495688,0.136410432395333,NA,NA,NA,NA,0.917538845495688,0.136410432395333,NA,NA,NA
"4","FULL","LEAD","CP/MS","Non-Pelagic Trawl","Open Access","BSAI",11.5931786995924,16.5249883884355,96.3728266003646,3.89912010007499,3.34785267642308,5.42026089866194,1.04338608296332,1.4872489549592,8.67355439403281,0.350920809006749,0.301306740878077,0.487823480879574,0.245436075884054,0.349846095638099,2.04028325583211,0.0825472255332949,0.0708764908081765,0.114750889269233,0.245436075884054,0.349846095638099,2.04028325583211,0.0825472255332949,0.0708764908081765,0.114750889269233
"5","FULL","LEAD","CP/MS","Non-Pelagic Trawl","Open Access","GOA",79.6869028018699,17.9157405805324,16.1873208446041,38.5071232512577,0.0782227784730914,NA,7.17182125216829,1.61241665224792,1.45685887601437,3.46564109261319,0.00704005006257822,NA,1.35467734763179,0.304567589869051,0.27518445435827,0.65462109527138,0.00132978723404255,NA,1.27499044482992,0.286651849288519,0.258997133513666,0.616113972020123,0.00125156445556946,NA
"6","FULL","LEAD","CP/MS","Pelagic Trawl","AFA","BSAI",36.7055948293129,27.1275296809543,187.873313992783,8.63964524608672,7.77787850948777,75.4888104266056,3.30350353463816,2.44147767128589,16.9085982593505,0.777568072147805,0.700009065853899,6.79399293839451,1.7574638804275,1.29886612112409,8.99537427397445,0.413666214382632,0.372404823034274,3.61440424322588,1.65798479285613,1.22534539728688,8.48620214525891,0.390251145643993,0.351325304749316,3.409815323798
"7","FULL","LEAD","CP/MS","Pelagic Trawl","CDQ","BSAI",14.6969500460951,20.6995921944994,43.8507025785468,3.730578552123,2.2218338941808,2.06084998181346,1.32272550414856,1.86296329750494,3.94656323206921,0.33575206969107,0.199965050476272,0.185476498363211,0.285212686832032,0.401701461024503,0.850977696914923,0.072396540027137,0.0431174640089462,0.0399933699595674,0.276569878140153,0.389528689478306,0.825190493978107,0.0702027054808602,0.0418108741904933,0.0387814496577623
"8","FULL","LEAD","PLANT",NA,"AFA",NA,414.039477775585,0.826446280991736,1.57492593170123,2.87967560694833,61.3040082048347,29.2030268199152,37.2635529998026,0.0743801652892562,0.141743333853111,0.25917080462535,5.51736073843512,2.62827241379237,15.6558677533893,0.03125,0.0595518867924528,0.108887733887734,2.31805781024531,1.10423945162804,15.6558677533893,0.03125,0.0595518867924528,0.108887733887734,2.31805781024531,1.10423945162804
"9","FULL","SECOND","CP/MS","Non-Pelagic Trawl","A80","BSAI",4.58344966421339,20.0897105015717,36.6009398638438,15.8342226007526,25.6229355718562,19.3486396422579,0.412510469779205,1.80807394514145,3.29408458774594,1.42508003406774,2.30606420146706,1.74137756780321,0.190125690651417,0.833339594393439,1.51824051313074,0.656818058110609,1.06286283891196,0.80259929630557,0.184492336854338,0.808648050855856,1.47325560903798,0.637356782314739,1.0313706066479,0.778818576415034
"10","FULL","SECOND","CP/MS","Non-Pelagic Trawl","CDQ","BSAI",3.69280590326314,10.6065232280941,38.0726738848785,10.8501143020628,9.92965348178543,19.4341730331387,0.332352531293683,0.954587090528471,3.42654064963906,0.976510287185651,0.893668813360689,1.74907557298249,0.0737407178807858,0.211799010711005,0.760263706638667,0.216663219969316,0.198282767964403,0.388076142755489,0.0737407178807858,0.211799010711005,0.760263706638667,0.216663219969316,0.198282767964403,0.388076142755489
