"","NUMBER_VIOLATIONS","OLE_SYSTEM","FIRST_VIOL_YEAR","FREQ","TOTAL","PROPORT_STATEMENTS"
"127",150,"OLD",2023,1,447,0.00223713646532438
"128",169,"NEW",2023,1,407,0.00245700245700246
"129",220,"NEW",2023,1,407,0.00245700245700246
"130",222,"OLD",2022,2,941,0.00212539851222104
"131",226,"NEW",2023,1,407,0.00245700245700246
"132",251,"NEW",2023,1,407,0.00245700245700246
"133",271,"NEW",2023,1,407,0.00245700245700246
"134",402,"NEW",2023,1,407,0.00245700245700246
"135",409,"NEW",2023,2,407,0.00491400491400491
"136",500,"OLD",2023,1,447,0.00223713646532438
