"","CRUISE","PERMIT","OBSERVER_SEQ","MANAGEMENT_PROGRAM_CODE","DAYS"
"171",22387,14557,12370,"OA",2
"172",22388,1109,12392,"OA",5
"173",22388,1265,12392,"OA",5
"174",22388,5382,12392,"OA",2
"175",22388,6097,12392,"OA",8
"176",22388,33363,12392,"OA",3
"177",22388,33530,12392,"OA",3
"178",22388,33807,12392,"OA",3
"179",22389,1610,12391,"EXP",50
"180",22390,1996,12390,"CDQ",15
"181",22390,1996,12390,"EXP",72
"182",22391,3442,12394,"AFA",61
"183",22391,3442,12394,"CDQ",17
"184",22392,2142,12400,"OA",4
"185",22392,4229,12400,"OA",7
"186",22392,4521,12400,"OA",4
"187",22392,31729,12400,"OA",4
"188",22392,33305,12400,"OA",6
"189",22393,420,12368,"OA",6
"190",22393,2781,12368,"OA",7
"191",22393,3648,12368,"OA",8
"192",22393,4590,12368,"OA",8
"193",22394,5,12420,"OA",4
"194",22394,993,12420,"OA",4
"195",22394,1571,12420,"OA",6
"196",22394,3233,12420,"OA",3
"197",22394,3734,12420,"OA",6
"198",22395,1607,12393,"AFA",80
"199",22396,3703,12445,"AFA",76
"200",22397,410,10659,"OA",3
"201",22397,825,10659,"OA",4
"202",22397,1674,10659,"OA",19
"203",22397,2046,10659,"OA",4
"204",22397,2579,10659,"OA",2
"205",22397,30512,10659,"OA",2
"206",22397,30898,10659,"IFQ",30
"207",22398,4598,12176,"CDQ",32
"208",22398,4598,12176,"OA",39
"209",22399,5358,12285,"AFA PLANT",88
"210",22400,2090,4161,"OA",83
"211",22401,134,11794,"AFA",6
"212",22401,6323,11794,"OA",52
"213",22402,405,12338,"OA",3
"214",22402,5368,12338,"OA",12
"215",22402,32645,12338,"OA",9
"216",22403,1760,10559,"OA",1
"217",22403,3826,10559,"OA",3
"218",22403,25218,10559,"OA",2
"219",22404,4578,1511,"OA",72
"220",22405,29997,11359,"OA",69
"221",22406,5306,7772,"AFA PLANT",85
"222",22407,4533,7636,"OA",87
"223",22408,4055,12426,"AFA",69
"224",22408,4055,12426,"CDQ",16
"225",22409,2733,12272,"CDQ",7
"226",22409,2733,12272,"EXP",34
"227",22410,428,12230,"AFA",5
"228",22410,33320,12230,"CDQ",55
"229",22411,3423,11944,"A80",76
"230",22411,3423,11944,"CDQ",3
"231",22411,3423,11944,"EXP",9
"232",22411,3423,11944,"OA",2
"233",22413,1248,12267,"OA",30
"234",22413,3414,12267,"AFA",16
"235",22413,3414,12267,"CDQ",26
"236",22414,523,11703,"OA",5
"237",22414,3713,11703,"OA",7
"238",22414,4187,11703,"OA",3
"239",22414,15532,11703,"OA",10
"240",22415,5,9640,"OA",8
"241",22415,2142,9640,"OA",9
"242",22415,3996,9640,"OA",3
"243",22415,4037,9640,"OA",4
"244",22415,4305,9640,"OA",8
"245",22415,7079,9640,"OA",3
"246",22415,31729,9640,"OA",6
"247",22415,32665,9640,"CDQ",4
"248",22415,32665,9640,"OA",5
"249",22416,372,12116,"OA",59
"250",22416,5320,12116,"AFA PLANT",15
"251",22417,2770,2196,"AFA",52
"252",22417,33989,2196,"OA",37
"253",22418,428,2731,"AFA",19
"254",22418,4573,2731,"CDQ",28
"255",22418,4573,2731,"IFQ",20
"256",22418,4573,2731,"OA",20
"257",22418,4573,2731,"SMPC",10
"258",22419,2733,7953,"EXP",12
"259",22419,2770,7953,"AFA",3
"260",22419,2849,7953,"AFA",43
"261",22419,2849,7953,"OA",2
"262",22419,3406,7953,"CDQ",12
"263",22420,1265,11890,"AFA",8
"264",22420,1265,11890,"OA",2
"265",22420,3703,11890,"AFA",37
"266",22421,435,12032,"OA",3
"267",22421,2010,12032,"OA",8
"268",22421,2791,12032,"OA",8
"269",22421,6222,12032,"OA",4
"270",22421,6222,12032,"SMO",4
"271",22421,32645,12032,"OA",3
"272",22422,2837,7461,"AFA",8
"273",22422,2837,7461,"OA",2
"274",22422,4306,7461,"OA",56
"275",22422,4569,7461,"CDQ",15
"276",22422,4569,7461,"OA",3
"277",22423,3423,7383,"A80",76
"278",22423,3423,7383,"CDQ",3
"279",22423,3423,7383,"EXP",9
"280",22423,3423,7383,"OA",2
"281",22424,4194,12080,"AFA",57
"282",22425,3442,11886,"AFA",51
"283",22425,3442,11886,"CDQ",17
"284",22426,2800,7445,"EXP",95
"285",22427,3406,12340,"CDQ",12
"286",22427,5323,12340,"AFA PLANT",5
"287",22428,4620,11929,"AFA",84
"288",22429,661,12177,"CDQ",20
"289",22429,661,12177,"EXP",13
"290",22429,4063,12177,"AFA",11
"291",22429,4063,12177,"CDQ",22
"292",22429,5320,12177,"AFA PLANT",13
"293",22430,723,9182,"OA",18
"294",22430,1234,9182,"AFA",22
"295",22430,1265,9182,"AFA",35
"296",22430,1265,9182,"OA",2
"297",22431,2889,12270,"AFA",51
"298",22432,2833,12236,"IFQ",23
"299",22432,2833,12236,"OA",2
"300",22432,3679,12236,"AFA",47
"301",22433,1998,5151,"AFA",24
"302",22433,5305,5151,"AFA PLANT",15
"303",22434,4063,3283,"AFA",31
"304",22434,4063,3283,"CDQ",60
"305",22434,5320,3283,"AFA PLANT",14
"306",22435,1292,12275,"AFA",22
"307",22435,1292,12275,"OA",29
"308",22435,5137,12275,"AFA",31
"309",22436,1222,11935,"AFA",30
"310",22436,1610,11935,"EXP",54
"311",22437,823,11669,"OA",11
"312",22437,3245,11669,"AFA",50
"313",22437,3245,11669,"CDQ",20
"314",22437,3245,11669,"OA",14
"315",22437,5310,11669,"AFA PLANT",5
"316",22438,3870,7595,"AFA",79
"317",22438,3870,7595,"CDQ",16
"318",22439,1248,12310,"CDQ",7
"319",22439,1248,12310,"OA",17
"320",22439,2134,12310,"A80",5
"321",22439,2134,12310,"EXP",16
"322",22439,3835,12310,"CDQ",7
"323",22439,3835,12310,"EXP",44
"324",22440,1868,12189,"AFA",7
"325",22440,4111,12189,"AFA",65
"326",22441,3261,11959,"AFA",57
"327",22441,3261,11959,"CDQ",12
"328",22441,3679,11959,"AFA",23
"329",22442,661,10240,"CDQ",19
"330",22442,661,10240,"EXP",41
"331",22442,5320,10240,"AFA PLANT",31
"332",22443,3896,12117,"AFA",66
"333",22443,3896,12117,"CDQ",18
"334",22444,3671,12336,"AFA",67
"335",22444,3671,12336,"CDQ",16
"336",22445,410,12190,"AFA",11
"337",22445,410,12190,"OA",3
"338",22445,1868,12190,"OA",30
"339",22445,1998,12190,"AFA",40
"340",22446,4078,8171,"AFA PLANT",6
"341",22446,5320,8171,"AFA PLANT",40
"342",22446,34249,8171,"CDQ",9
"343",22446,34249,8171,"EXP",34
"344",22447,208,7535,"AFA",64
"345",22447,5305,7535,"AFA PLANT",4
"346",22448,2047,12210,"AFA",70
"347",22449,3007,12205,"AFA",77
"348",22450,428,12356,"AFA",23
"349",22450,1688,12356,"AFA",17
"350",22450,1688,12356,"OA",25
"351",22451,2123,11865,"EXP",41
"352",22451,2134,11865,"A80",37
"353",22451,2134,11865,"CDQ",5
"354",22451,2134,11865,"OA",1
"355",22452,3396,11960,"AFA",45
"356",22452,3396,11960,"CDQ",34
"357",22452,4194,11960,"AFA",26
"358",22453,657,12067,"AFA",5
"359",22453,993,12067,"OA",16
"360",22453,1094,12067,"AFA",3
"361",22453,34017,12067,"A80",45
"362",22454,3357,11946,"AFA",71
"363",22454,3357,11946,"CDQ",31
"364",22455,1167,11994,"AFA",52
"365",22455,1167,11994,"OA",35
"366",22456,3369,11499,"EXP",84
"367",22457,1164,10279,"AFA",47
"368",22457,1164,10279,"OA",33
"369",22458,2110,12056,"EXP",80
"370",22459,2943,7751,"AFA",52
"371",22459,2943,7751,"CDQ",27
"372",22459,2943,7751,"OA",31
"373",22460,511,11726,"AFA",72
"374",22461,3703,11940,"AFA",76
"375",22462,2888,3512,"AFA",73
"376",22463,3703,12250,"AFA",37
"377",22464,422,7504,"OA",2
"378",22465,2733,12320,"CDQ",18
"379",22465,2733,12320,"EXP",63
"380",22466,5320,7481,"AFA PLANT",20
"381",22466,34017,7481,"A80",20
"382",22467,3261,12313,"AFA",57
"383",22467,3261,12313,"CDQ",12
"384",22468,1623,11965,"AFA",12
"385",22468,1623,11965,"OA",3
"386",22468,2733,11965,"CDQ",18
"387",22468,2733,11965,"EXP",63
"388",22469,434,12165,"AFA",21
"389",22469,1623,12165,"OA",27
"390",22470,3396,12311,"AFA",64
"391",22470,3396,12311,"CDQ",46
"392",22471,251,12180,"OA",25
"393",22471,1094,12180,"AFA",4
"394",22471,2837,12180,"AFA",44
"395",22471,2837,12180,"OA",2
"396",22472,4055,10039,"AFA",69
"397",22472,4055,10039,"CDQ",16
"398",22473,1996,12171,"CDQ",15
"399",22473,1996,12171,"EXP",72
"400",22474,515,12305,"AFA",72
"401",22475,3681,12352,"AFA",68
"402",22475,3681,12352,"CDQ",20
"403",22476,3694,12178,"EXP",66
"404",22477,3819,12351,"A80",62
"405",22477,3819,12351,"EXP",24
"406",22478,2657,7732,"AFA",69
"407",22478,2657,7732,"OA",8
"408",22479,3369,12170,"EXP",55
"409",22480,5130,12280,"OA",26
"410",22481,511,12108,"AFA",5
"411",22481,1652,12108,"AFA",70
"412",22482,3988,11672,"AFA",61
"413",22483,251,12353,"AFA",10
"414",22483,4063,12353,"AFA",20
"415",22483,4063,12353,"CDQ",39
"416",22484,251,12118,"AFA",13
"417",22484,251,12118,"OA",3
"418",22484,3357,12118,"AFA",71
"419",22484,3357,12118,"CDQ",31
"420",22485,657,10904,"AFA",5
"421",22485,2134,10904,"A80",41
"422",22485,2134,10904,"OA",5
"423",22485,3396,10904,"AFA",20
"424",22485,3396,10904,"CDQ",12
"425",22486,723,12088,"OA",6
"426",22486,1234,12088,"AFA",10
"427",22486,1234,12088,"OA",2
"428",22486,34279,12088,"AFA",72
"429",22487,4450,12110,"OA",34
"430",22488,4111,1337,"AFA",65
"431",22489,3011,10479,"AFA",16
"432",22489,3011,10479,"OA",34
"433",22489,3442,10479,"AFA",11
"434",22489,5305,10479,"AFA PLANT",5
"435",22490,2810,11864,"AFA",52
"436",22491,1650,10341,"AFA",58
"437",22491,1650,10341,"OA",26
"438",22492,2800,11869,"EXP",78
"439",22493,1043,11159,"OA",2
"440",22493,1482,11159,"OA",10
"441",22493,1571,11159,"OA",3
"442",22493,1674,11159,"OA",3
"443",22493,2010,11159,"OA",3
"444",22493,2142,11159,"OA",5
"445",22493,6222,11159,"OA",12
"446",22493,30102,11159,"OA",5
"447",22493,32761,11159,"OA",6
"448",22494,236,12121,"AFA",59
"449",22494,236,12121,"OA",27
"450",22495,4078,12005,"AFA PLANT",29
"451",22496,3245,11609,"AFA",50
"452",22496,3245,11609,"CDQ",20
"453",22496,3245,11609,"OA",17
"454",22496,5310,11609,"AFA PLANT",4
"455",22497,34249,12385,"CDQ",41
"456",22497,34249,12385,"EXP",53
"457",22498,4635,12380,"EXP",79
"458",22499,543,12295,"AFA",47
"459",22499,543,12295,"OA",29
"460",22500,3794,12450,"AFA",49
"461",22500,3794,12450,"CDQ",19
"462",22501,661,12374,"CDQ",39
"463",22501,661,12374,"EXP",55
"464",22502,523,12365,"OA",2
"465",22502,825,12365,"OA",8
"466",22502,2791,12365,"OA",3
"467",22503,1116,12455,"AFA",47
"468",22503,5305,12455,"AFA PLANT",6
"469",22504,3010,12460,"AFA",78
"470",22504,3010,12460,"OA",10
"471",22505,5822,12405,"EXP",72
"472",22506,5306,7646,"AFA PLANT",90
"473",22507,5,12396,"OA",7
"474",22507,825,12396,"OA",5
"475",22507,1801,12396,"IFQ",5
"476",22507,4989,12396,"OA",10
"477",22507,6097,12396,"OA",5
"478",22507,6222,12396,"OA",3
"479",22508,2123,12395,"A80",4
"480",22508,2123,12395,"CDQ",15
"481",22508,2123,12395,"EXP",54
"482",22509,2110,12435,"EXP",80
"483",22510,2059,11680,"AFA",9
"484",22510,2059,11680,"OA",29
"485",22511,405,10520,"OA",12
"486",22511,435,10520,"OA",2
"487",22511,634,10520,"IFQ",8
"488",22511,1191,10520,"OA",11
"489",22511,2579,10520,"OA",4
"490",22511,4037,10520,"OA",12
"491",22511,4506,10520,"OA",3
"492",22512,5822,9579,"EXP",46
"493",22512,7161,9579,"CDQ",43
"494",22513,5323,11788,"AFA PLANT",80
"495",22514,3794,11798,"AFA",49
"496",22514,3794,11798,"CDQ",19
"497",22515,422,11995,"AFA",42
"498",22515,422,11995,"OA",26
"499",22515,5305,11995,"AFA PLANT",7
"500",22516,4092,11524,"EXP",52
"501",22517,410,12286,"AFA",10
"502",22517,586,12286,"AFA",20
"503",22517,1318,12286,"AFA",27
"504",22517,1318,12286,"OA",24
"505",22517,3404,12286,"AFA",8
"506",22518,901,12335,"AFA",64
"507",22518,1318,12335,"AFA",23
"508",22519,2142,12345,"OA",5
"509",22519,32761,12345,"OA",3
"510",22520,1292,12300,"AFA",21
"511",22520,2769,12300,"AFA",63
"512",22521,4078,12175,"AFA PLANT",84
"513",22523,4092,10744,"EXP",80
"514",22524,3870,12071,"AFA",79
"515",22524,3870,12071,"CDQ",16
"516",22525,4284,10980,"OA",8
"517",22525,4628,10980,"OA",16
"518",22525,6222,10980,"OA",3
"519",22526,435,11774,"OA",11
"520",22526,4131,11774,"OA",7
"521",22526,4506,11774,"OA",5
"522",22528,3835,10439,"CDQ",8
"523",22528,3835,10439,"EXP",80
"524",22529,1879,7959,"EXP",38
"525",22530,2943,11905,"AFA",52
"526",22530,2943,11905,"CDQ",27
"527",22530,2943,11905,"OA",12
"528",22531,3367,11962,"CDQ",15
"529",22531,3367,11962,"EXP",60
"530",22532,3819,11894,"A80",48
"531",22532,5305,11894,"AFA PLANT",10
"532",22533,1879,11885,"EXP",81
"533",22534,657,12130,"OA",2
"534",22534,4078,12130,"AFA PLANT",12
"535",22534,33320,12130,"CDQ",29
"536",22534,33320,12130,"OA",18
"537",22535,1248,11974,"CDQ",7
"538",22535,1248,11974,"OA",46
"539",22536,134,10480,"AFA",11
"540",22536,6323,10480,"OA",49
"541",22537,1236,1774,"AFA",60
"542",22537,1879,1774,"EXP",11
"543",22538,4133,1483,"AFA",47
"544",22539,2059,5949,"AFA",20
"545",22539,2800,5949,"EXP",36
"546",22539,33470,5949,"OA",25
"547",22540,3423,12350,"A80",4
"548",22540,3423,12350,"EXP",12
"549",22540,4093,12350,"A80",31
"550",22540,4093,12350,"CDQ",3
"551",22541,2770,8072,"AFA",6
"552",22541,3404,8072,"AFA",44
"553",22542,1265,12271,"AFA",17
"554",22543,4569,9760,"CDQ",1
"555",22543,4569,9760,"OA",23
"556",22544,2733,11919,"CDQ",12
"557",22544,2733,11919,"EXP",72
"558",22545,1375,12355,"IFQ",22
"559",22545,1781,12355,"IFQ",6
"560",22545,1938,12355,"IFQ",4
"561",22545,4037,12355,"OA",8
"562",22545,4141,12355,"IFQ",4
"563",22545,4579,12355,"OA",9
"564",22546,1106,11339,"IFQ",19
"565",22546,1191,11339,"OA",7
"566",22546,1265,11339,"AFA",1
"567",22546,1265,11339,"OA",2
"568",22546,1697,11339,"IFQ",4
"569",22546,1846,11339,"OA",2
"570",22546,10562,11339,"OA",3
"571",22546,32850,11339,"OA",7
"572",22547,586,11891,"AFA",23
"573",22548,1094,10120,"AFA",28
"574",22548,1610,10120,"EXP",43
"575",22549,33989,7556,"OA",35
"576",22550,2837,11079,"AFA",1
"577",22550,2837,11079,"OA",3
"578",22550,4024,11079,"OA",4
"579",22550,32665,11079,"CDQ",3
"580",22551,151,8435,"IFQ",10
"581",22551,2173,8435,"IFQ",4
"582",22551,2396,8435,"IFQ",7
"583",22551,2584,8435,"IFQ",3
"584",22551,3017,8435,"IFQ",4
"585",22551,3483,8435,"IFQ",4
"586",22551,4037,8435,"OA",3
"587",22551,4614,8435,"OA",2
"588",22551,6004,8435,"IFQ",8
"589",22551,33305,8435,"OA",7
"590",22552,251,12106,"OA",3
"591",22552,2142,12106,"OA",3
"592",22552,4141,12106,"OA",3
"593",22552,4417,12106,"IFQ",4
"594",22552,4614,12106,"OA",3
"595",22553,1623,12340,"AFA",10
"596",22553,1623,12340,"OA",3
"597",22553,3800,12340,"AFA",28
"598",22554,2123,1022,"A80",4
"599",22554,2123,1022,"CDQ",15
"600",22554,2123,1022,"EXP",37
"601",22555,166,12482,"IFQ",4
"602",22555,568,12482,"IFQ",3
"603",22555,1170,12482,"IFQ",2
"604",22555,2108,12482,"IFQ",3
"605",22555,3548,12482,"IFQ",6
"606",22555,4419,12482,"IFQ",10
"607",22555,14792,12482,"IFQ",5
"608",22555,32261,12482,"IFQ",4
"609",22556,405,12490,"OA",5
"610",22556,1979,12490,"IFQ",21
"611",22556,2534,12490,"IFQ",3
"612",22556,2791,12490,"OA",3
"613",22556,2861,12490,"OA",9
"614",22556,31061,12490,"IFQ",4
"615",22557,825,12476,"IFQ",6
"616",22557,1571,12476,"OA",6
"617",22557,1938,12476,"IFQ",6
"618",22557,2781,12476,"OA",7
"619",22557,5052,12476,"IFQ",4
"620",22558,1610,12481,"EXP",5
"621",22558,4092,12481,"EXP",58
"622",22559,34249,12491,"CDQ",13
"623",22559,34249,12491,"EXP",50
"624",22560,405,12480,"RPP",5
"625",22560,1571,12480,"RPP",11
"626",22560,3996,12480,"AFA",39
"627",22560,5358,12480,"AFA PLANT",3
"628",22561,2800,12465,"EXP",33
"629",22561,4305,12465,"AFA",39
"630",22561,5306,12465,"AFA PLANT",7
"631",22562,434,12475,"AFA",32
"632",22562,34249,12475,"CDQ",7
"633",22562,34249,12475,"EXP",27
"634",22563,3367,12485,"CDQ",15
"635",22563,3367,12485,"EXP",66
"636",22564,823,12500,"OA",3
"637",22564,1234,12500,"OA",9
"638",22564,1235,12500,"OA",3
"639",22564,2791,12500,"OA",3
"640",22564,4208,12500,"IFQ",4
"641",22564,33530,12500,"OA",5
"642",22565,3369,12495,"EXP",92
"643",22566,2733,12290,"CDQ",3
"644",22566,2733,12290,"EXP",43
"645",22566,4078,12290,"AFA PLANT",41
"646",22567,4093,12250,"A80",31
"647",22567,4093,12250,"CDQ",3
"648",22568,3336,9181,"CDQ",8
"649",22568,3336,9181,"OA",18
"650",22568,4578,9181,"OA",21
"651",22569,1641,11539,"OA",10
"652",22569,29997,11539,"OA",43
"653",22570,661,11525,"CDQ",10
"654",22570,661,11525,"EXP",46
"655",22570,4598,11525,"OA",24
"656",22571,3835,12005,"CDQ",2
"657",22571,3835,12005,"EXP",53
"658",22572,341,12367,"IFQ",4
"659",22572,523,12367,"OA",3
"660",22572,1228,12367,"OA",3
"661",22572,1729,12367,"IFQ",7
"662",22572,2317,12367,"IFQ",3
