"","CRUISE","PERMIT","OBSERVER_SEQ","MANAGEMENT_PROGRAM_CODE","DAYS"
"735",22588,20461,12392,"IFQ",6
"736",22588,25013,12392,"IFQ",6
"737",22588,32783,12392,"IFQ",9
"738",22588,34794,12392,"IFQ",6
"739",22589,1996,12160,"EXP",55
"740",22590,2844,12368,"IFQ",9
"741",22590,6278,12368,"IFQ",4
"742",22590,33588,12368,"IFQ",7
"743",22590,33828,12368,"IFQ",7
"744",22591,823,7959,"AFA",20
"745",22591,823,7959,"OA",4
"746",22592,2090,7625,"OA",24
"747",22593,1193,12420,"OA",4
"748",22593,4105,12420,"IFQ",5
"749",22593,4265,12420,"IFQ",4
"750",22593,5747,12420,"IFQ",17
"751",22593,30175,12420,"IFQ",4
"752",22594,2657,12176,"AFA",5
"753",22594,3694,12176,"EXP",77
"754",22595,3694,12165,"EXP",40
"755",22596,5822,12391,"EXP",49
"756",22597,825,12455,"AFA",18
"757",22597,825,12455,"OA",7
"758",22598,251,12265,"AFA",6
"759",22598,372,12265,"OA",28
"760",22598,2134,12265,"A80",8
"761",22598,2134,12265,"CDQ",1
"762",22598,2134,12265,"EXP",40
"763",22598,5320,12265,"AFA PLANT",5
"764",22599,2123,12170,"EXP",56
"765",22601,1623,11874,"AFA",6
"766",22601,2733,11874,"CDQ",8
"767",22601,2733,11874,"EXP",68
"768",22601,5323,11874,"AFA PLANT",14
"769",22602,5,11519,"OA",3
"770",22602,289,11519,"IFQ",10
"771",22602,1937,11519,"IFQ",3
"772",22602,1987,11519,"IFQ",3
"773",22602,5172,11519,"IFQ",5
"774",22603,5,8514,"OA",4
"775",22603,4491,8514,"OA",5
"776",22603,5733,8514,"IFQ",5
"777",22603,7090,8514,"IFQ",7
"778",22603,18583,8514,"IFQ",5
"779",22604,2134,11999,"A80",12
"780",22604,2134,11999,"CDQ",1
"781",22604,2134,11999,"EXP",56
"782",22604,2657,11999,"AFA",10
"783",22604,4635,11999,"EXP",10
"784",22605,1996,7759,"EXP",55
"785",22606,519,12036,"OA",9
"786",22606,3865,12036,"IFQ",8
"787",22607,818,11773,"IFQ",5
"788",22607,3093,11773,"IFQ",23
"789",22607,4804,11773,"IFQ",7
"790",22607,4867,11773,"IFQ",4
"791",22607,4867,11773,"SMPC",3
"792",22607,15956,11773,"IFQ",4
"793",22607,31518,11773,"IFQ",17
"794",22608,166,8474,"IFQ",12
"795",22608,849,8474,"IFQ",2
"796",22608,1567,8474,"IFQ",3
"797",22608,2844,8474,"IFQ",6
"798",22608,3541,8474,"IFQ",7
"799",22608,3728,8474,"IFQ",19
"800",22608,4226,8474,"IFQ",7
"801",22608,17103,8474,"IFQ",6
"802",22609,4093,12060,"A80",27
"803",22609,4093,12060,"CDQ",3
"804",22609,4093,12060,"EXP",31
"805",22610,1641,12313,"AFA",25
"806",22610,34249,12313,"CDQ",15
"807",22610,34249,12313,"EXP",50
"808",22611,1094,12080,"AFA",3
"809",22611,2110,12080,"A80",8
"810",22611,2110,12080,"EXP",67
"811",22612,3369,12270,"EXP",74
"812",22612,3800,12270,"AFA",16
"813",22613,993,12178,"AFA",7
"814",22613,4092,12178,"EXP",80
"815",22614,4635,3842,"EXP",45
"816",22615,1650,6090,"AFA",17
"817",22615,4569,6090,"CDQ",41
"818",22615,4569,6090,"OA",7
"819",22615,4635,6090,"EXP",14
"820",22616,5320,12381,"AFA PLANT",8
"821",22616,34017,12381,"A80",12
"822",22616,34017,12381,"EXP",71
"823",22617,1248,12436,"CDQ",10
"824",22617,1248,12436,"OA",26
"825",22618,1879,12515,"EXP",83
"826",22618,1879,12515,"RPP",1
"827",22619,428,12470,"AFA",12
"828",22619,1571,12470,"RPP",3
"829",22619,4037,12470,"RPP",8
"830",22620,367,12505,"OA",80
"831",22621,2110,12525,"A80",8
"832",22621,2110,12525,"EXP",77
"833",22622,1222,12352,"AFA",12
"834",22622,3423,12352,"A80",12
"835",22622,3423,12352,"EXP",47
"836",22623,661,12450,"CDQ",10
"837",22623,661,12450,"EXP",65
"838",22624,33470,6753,"OA",40
"839",22626,751,12369,"IFQ",7
"840",22626,1877,12369,"IFQ",12
"841",22626,1967,12369,"IFQ",8
"842",22626,1967,12369,"OA",8
"843",22626,1967,12369,"SMS",8
"844",22626,4226,12369,"IFQ",5
"845",22626,32665,12369,"CDQ",6
"846",22626,32665,12369,"IFQ",9
"847",22626,32761,12369,"IFQ",6
"848",22627,3835,12177,"CDQ",1
"849",22627,3835,12177,"EXP",59
"850",22628,571,11081,"IFQ",8
"851",22630,4093,11940,"A80",27
"852",22630,4093,11940,"CDQ",3
"853",22630,4093,11940,"EXP",31
"854",22631,34017,10900,"A80",7
"855",22631,34017,10900,"EXP",33
"856",22632,1222,12041,"AFA",7
"857",22632,5822,12041,"EXP",79
"858",22633,3819,12050,"A80",18
"859",22633,3819,12050,"EXP",43
"860",22635,2123,6189,"EXP",79
"861",22636,3694,11991,"EXP",75
"862",22636,4078,11991,"AFA PLANT",16
"863",22637,134,9201,"AFA",4
"864",22637,372,9201,"OA",44
"865",22637,1228,9201,"AFA",13
"866",22637,4092,9201,"EXP",25
"867",22639,1116,11299,"AFA",15
"868",22639,2781,11299,"RPP",5
"869",22639,3242,11299,"IFQ",18
"870",22639,3242,11299,"OA",62
"871",22639,33989,11299,"OA",4
"872",22640,1610,11619,"EXP",77
"873",22640,2889,11619,"AFA",10
"874",22642,1248,12371,"IFQ",51
"875",22642,1248,12371,"OA",4
"876",22644,1868,11865,"RPP",7
"877",22644,2791,11865,"RPP",8
"878",22645,5,12108,"RPP",12
"879",22645,2861,12108,"RPP",3
"880",22645,6182,12108,"RPP",8
"881",22646,3423,11886,"A80",15
"882",22646,3423,11886,"CDQ",4
"883",22646,3423,11886,"EXP",59
"884",22647,1688,8072,"AFA",25
"885",22647,2718,8072,"IFQ",8
"886",22647,2718,8072,"OA",61
"887",22648,6182,12395,"RPP",22
"888",22649,1043,12267,"RPP",16
"889",22649,34017,12267,"A80",8
"890",22649,34017,12267,"EXP",55
"891",22650,1144,9821,"IFQ",3
"892",22650,4816,9821,"IFQ",7
"893",22650,13127,9821,"IFQ",4
"894",22651,2733,12555,"CDQ",16
"895",22651,2733,12555,"EXP",63
"896",22652,5,12535,"RPP",3
"897",22652,3402,12535,"RPP",8
"898",22652,4131,12535,"RPP",39
"899",22652,4133,12535,"AFA",35
"900",22653,1868,12545,"AFA",65
"901",22653,1868,12545,"RPP",3
"902",22653,7079,12545,"RPP",19
"903",22654,435,12510,"RPP",14
"904",22654,823,12510,"RPP",9
"905",22654,2046,12510,"OA",3
"906",22654,2046,12510,"RPP",6
"907",22654,5358,12510,"AFA PLANT",47
"908",22655,410,12550,"AFA",50
"909",22655,410,12550,"RPP",18
"910",22655,1674,12550,"OA",5
"911",22655,1674,12550,"RPP",4
"912",22655,2861,12550,"RPP",6
"913",22656,993,12520,"RPP",25
"914",22656,2791,12520,"RPP",2
"915",22656,2800,12520,"EXP",60
"916",22656,2800,12520,"RPP",4
"917",22657,3835,12560,"CDQ",12
"918",22657,3835,12560,"EXP",81
"919",22658,2142,12530,"RPP",19
"920",22658,3402,12530,"RPP",8
"921",22658,4093,12530,"A80",8
"922",22658,4093,12530,"EXP",34
"923",22658,6182,12530,"RPP",9
"924",22659,1879,11950,"EXP",82
"925",22659,1879,11950,"RPP",1
"926",22659,2811,11950,"AFA",5
"927",22660,405,11833,"RPP",15
"928",22661,422,83,"AFA",6
"929",22661,993,83,"AFA",16
"930",22661,2791,83,"RPP",4
"931",22661,2800,83,"EXP",15
"932",22662,1571,11885,"RPP",5
"933",22662,6182,11885,"RPP",2
"934",22664,1868,11908,"RPP",14
"935",22664,2781,11908,"RPP",3
"936",22677,1043,12195,"RPP",5
"937",22677,1318,12195,"AFA",49
"938",22677,1571,12195,"RPP",2
"939",22677,2791,12195,"RPP",9
"940",22690,1222,11749,"AFA",18
"941",22690,2791,11749,"AFA",28
"942",22690,4037,11749,"RPP",8
"943",22690,5306,11749,"AFA PLANT",22
"944",22691,34249,10439,"CDQ",35
"945",22691,34249,10439,"EXP",62
"946",22692,5663,12415,"IFQ",5
"947",22692,18667,12415,"IFQ",4
"948",22693,1571,12326,"RPP",15
"949",22693,2781,12326,"RPP",17
"950",22694,34249,12390,"CDQ",35
"951",22694,34249,12390,"EXP",62
"952",22702,4573,7625,"CDQ",7
"953",22702,4573,7625,"IFQ",28
"954",22702,4573,7625,"OA",3
"955",22703,4306,11789,"IFQ",10
"956",22703,4306,11789,"OA",42
"957",22705,2811,1774,"AFA",5
"958",22705,5358,1774,"AFA PLANT",24
"959",22705,33470,1774,"OA",43
"960",22706,134,12405,"AFA",5
"961",22706,3367,12405,"CDQ",6
"962",22706,3367,12405,"EXP",71
"963",22707,251,11672,"AFA",4
"964",22707,3367,11672,"CDQ",6
"965",22707,3367,11672,"EXP",57
"966",22708,3367,12110,"EXP",15
"967",22708,5822,12110,"EXP",26
"968",22708,33320,12110,"CDQ",42
"969",22709,2733,11539,"CDQ",28
"970",22709,2733,11539,"EXP",73
"971",22710,2861,11884,"RPP",18
"972",22710,4037,11884,"RPP",4
"973",22711,825,7424,"AFA",18
"974",22711,825,7424,"RPP",9
"975",22711,2781,7424,"RPP",2
"976",22712,4315,12032,"IFQ",9
"977",22713,2800,12335,"EXP",82
"978",22713,2800,12335,"RPP",4
"979",22714,6039,12345,"IFQ",16
"980",22715,249,12305,"AFA",6
"981",22715,661,12305,"CDQ",51
"982",22715,661,12305,"EXP",34
"983",22716,3819,11585,"A80",10
"984",22716,3819,11585,"EXP",73
"985",22717,34249,12325,"CDQ",44
"986",22717,34249,12325,"EXP",61
"987",22718,1610,11946,"EXP",66
"988",22718,1652,11946,"AFA",18
"989",22719,251,12374,"AFA",26
"990",22719,4620,12374,"AFA",59
"991",22720,1164,12269,"AFA",89
"992",22721,3694,7179,"EXP",40
"993",22721,4078,7179,"AFA PLANT",47
"994",22722,1445,12338,"IFQ",5
"995",22722,1482,12338,"OA",6
"996",22722,1561,12338,"IFQ",6
"997",22722,32850,12338,"IFQ",7
"998",22723,3673,12056,"OA",67
"999",22723,4078,12056,"AFA PLANT",14
"1000",22724,1623,12380,"AFA",27
"1001",22724,34017,12380,"A80",6
"1002",22724,34017,12380,"EXP",49
"1003",22726,405,12066,"AFA",12
"1004",22726,405,12066,"RPP",3
"1005",22727,428,5949,"AFA",6
"1006",22727,3336,5949,"CDQ",61
"1007",22727,3336,5949,"OA",9
"1008",22727,3402,5949,"RPP",6
"1009",22728,422,2731,"AFA",18
"1010",22728,4377,2731,"OA",58
"1011",22729,3672,12310,"IFQ",3
"1012",22729,3672,12310,"OA",63
"1013",22730,422,11962,"AFA",4
"1014",22730,4377,11962,"OA",24
"1015",22730,33989,11962,"OA",62
"1016",22731,2770,7405,"AFA",9
"1017",22731,3010,7405,"AFA",70
"1018",22732,249,12320,"AFA",9
"1019",22732,3414,12320,"AFA",40
"1020",22732,3414,12320,"CDQ",31
"1021",22732,5320,12320,"AFA PLANT",13
"1022",22733,2889,12372,"AFA",3
"1023",22733,3261,12372,"AFA",15
"1024",22733,3261,12372,"CDQ",1
"1025",22733,4635,12372,"EXP",33
"1026",22734,341,10659,"IFQ",1
"1027",22734,2250,10659,"IFQ",2
"1028",22734,3737,10659,"IFQ",6
"1029",22734,18381,10659,"IFQ",5
"1030",22734,30617,10659,"IFQ",4
"1031",22734,33961,10659,"IFQ",3
"1032",22735,405,11965,"RPP",5
"1033",22735,1094,11965,"AFA",45
"1034",22735,3703,11965,"AFA",35
"1035",22736,3414,12436,"AFA",40
"1036",22736,3414,12436,"CDQ",43
"1037",22737,2123,12481,"CDQ",10
"1038",22737,2123,12481,"EXP",78
"1039",22738,3414,12266,"AFA",4
"1040",22738,3414,12266,"CDQ",15
"1041",22738,29997,12266,"OA",73
"1042",22739,3396,11865,"AFA",76
"1043",22739,3396,11865,"CDQ",45
"1044",22740,4092,12290,"EXP",60
"1045",22741,5306,1076,"AFA PLANT",82
"1046",22742,4578,1766,"OA",85
"1047",22743,5358,1337,"AFA PLANT",8
"1048",22744,823,12286,"AFA",25
"1049",22744,1879,12286,"EXP",15
"1050",22744,5310,12286,"AFA PLANT",40
"1051",22745,3794,12580,"AFA",68
"1052",22745,3794,12580,"CDQ",14
"1053",22746,3703,12630,"AFA",97
"1054",22747,3694,12573,"EXP",76
"1055",22748,3703,12635,"AFA",97
"1056",22749,661,12572,"CDQ",51
"1057",22749,661,12572,"EXP",15
"1058",22749,1641,12572,"AFA",9
"1059",22749,1650,12572,"AFA",18
"1060",22750,2733,12585,"CDQ",32
"1061",22750,2733,12585,"EXP",71
"1062",22751,5358,12595,"AFA PLANT",78
"1063",22752,3396,12620,"AFA",76
"1064",22752,3396,12620,"CDQ",45
"1065",22753,34279,12521,"AFA",88
"1066",22754,3357,12571,"AFA",79
"1067",22754,3357,12571,"CDQ",29
"1068",22755,2047,12590,"AFA",82
"1069",22756,4063,12640,"AFA",28
"1070",22756,4063,12640,"CDQ",61
"1071",22757,3423,12606,"A80",17
"1072",22757,3423,12606,"CDQ",10
"1073",22757,3423,12606,"EXP",60
"1074",22758,3369,12600,"EXP",60
"1075",22759,417,12570,"AFA",67
"1076",22759,5310,12570,"AFA PLANT",13
"1077",22760,993,12574,"AFA",3
"1078",22760,2134,12574,"A80",9
"1079",22760,2134,12574,"CDQ",10
"1080",22760,2134,12574,"EXP",51
"1081",22760,3988,12574,"AFA",12
"1082",22760,5822,12574,"EXP",4
"1083",22761,1607,12611,"AFA",88
"1084",22762,901,12356,"AFA",12
"1085",22762,3245,12356,"AFA",9
"1086",22762,3245,12356,"OA",1
"1087",22763,1257,12355,"IFQ",5
"1088",22763,2781,12355,"OA",4
"1089",22763,5747,12355,"IFQ",6
"1090",22764,3794,7894,"AFA",68
"1091",22764,3794,7894,"CDQ",14
"1092",22765,5822,12385,"EXP",75
"1093",22766,1234,12071,"AFA",39
"1094",22766,3404,12071,"AFA",38
"1095",22767,3002,7772,"AFA",78
"1096",22768,1292,12336,"AFA",54
"1097",22768,5306,12336,"AFA PLANT",27
"1098",22769,4450,8171,"OA",59
"1099",22770,1167,12339,"AFA",60
"1100",22771,901,12295,"AFA",22
"1101",22771,1998,12295,"AFA",68
"1102",22772,411,12300,"AFA",76
"1103",22773,166,10521,"IFQ",5
"1104",22773,438,10521,"IFQ",7
"1105",22773,1502,10521,"IFQ",12
"1106",22773,1877,10521,"IFQ",2
"1107",22773,2975,10521,"IFQ",4
"1108",22773,4127,10521,"IFQ",3
"1109",22773,4144,10521,"IFQ",4
"1110",22773,4333,10521,"IFQ",10
"1111",22773,5062,10521,"IFQ",4
"1112",22773,32645,10521,"OA",8
"1113",22773,32957,10521,"IFQ",4
"1114",22774,2770,6475,"AFA",25
"1115",22774,3245,6475,"AFA",53
"1116",22774,3245,6475,"OA",6
"1117",22775,4194,11525,"AFA",22
"1118",22776,411,12088,"AFA",8
"1119",22776,5310,12088,"AFA PLANT",78
"1120",22777,5306,12480,"AFA PLANT",33
"1121",22778,543,7646,"AFA",5
"1122",22778,3388,7646,"AFA",72
"1123",22778,5310,7646,"AFA PLANT",3
"1124",22779,4620,12435,"AFA",19
"1125",22780,434,11905,"AFA",21
"1126",22780,5822,11905,"EXP",41
"1127",22781,5320,7953,"AFA PLANT",8
"1128",22781,5822,7953,"EXP",12
"1129",22781,34615,7953,"CDQ",22
"1130",22781,34615,7953,"OA",45
"1131",22782,2889,12311,"AFA",37
"1132",22783,4063,12108,"AFA",28
"1133",22783,4063,12108,"CDQ",61
"1134",22784,3007,9560,"AFA",87
"1135",22785,5323,10902,"AFA PLANT",88
"1136",22786,3835,11718,"CDQ",12
"1137",22786,3835,11718,"EXP",62
"1138",22787,425,12330,"AFA",82
"1139",22788,3357,11955,"AFA",79
"1140",22788,3357,11955,"CDQ",29
"1141",22789,3996,11200,"AFA",86
"1142",22790,236,11935,"AFA",76
"1143",22790,1652,11935,"AFA",12
"1144",22791,1688,12087,"AFA",12
"1145",22791,2769,12087,"AFA",9
"1146",22792,1652,11615,"AFA",42
"1147",22793,1228,11864,"AFA",32
"1148",22793,1650,11864,"AFA",7
"1149",22793,2770,11864,"AFA",31
"1150",22793,5137,11864,"AFA",14
"1151",22794,4093,11885,"A80",15
"1152",22794,4093,11885,"CDQ",2
"1153",22794,4093,11885,"EXP",61
"1154",22795,1228,11083,"AFA",6
"1155",22795,4133,11083,"AFA",11
"1156",22796,2811,8261,"AFA",41
"1157",22796,4093,8261,"A80",7
"1158",22796,4093,8261,"CDQ",2
"1159",22796,4093,8261,"EXP",27
"1160",22797,1607,11890,"AFA",54
"1161",22797,3819,11890,"A80",4
"1162",22797,3819,11890,"EXP",25
"1163",22798,5320,12373,"AFA PLANT",80
"1164",22799,1482,12490,"OA",19
"1165",22799,3541,12490,"IFQ",12
"1166",22799,30175,12490,"IFQ",2
"1167",22800,516,12475,"AFA",79
"1168",22801,3988,11726,"AFA",28
"1169",22802,515,12485,"AFA",69
"1170",22803,511,11359,"AFA",26
"1171",22804,4078,11499,"AFA PLANT",28
"1172",22804,4092,11499,"EXP",40
"1173",22804,4620,11499,"AFA",13
"1174",22805,2134,10279,"A80",11
"1175",22805,2134,10279,"CDQ",23
"1176",22805,2134,10279,"EXP",69
"1177",22806,2110,12188,"EXP",59
"1178",22807,2090,12130,"OA",98
"1179",22808,3671,9182,"AFA",62
"1180",22808,4093,9182,"A80",4
"1181",22808,4093,9182,"CDQ",8
"1182",22808,4093,9182,"EXP",20
"1183",22809,5310,11995,"AFA PLANT",17
"1184",22810,1650,12280,"AFA",7
"1185",22810,3423,12280,"A80",11
"1186",22810,3423,12280,"CDQ",7
"1187",22810,3423,12280,"EXP",21
"1188",22810,3819,12280,"A80",6
"1189",22810,3819,12280,"EXP",42
"1190",22811,3671,12210,"AFA",62
"1191",22811,5306,12210,"AFA PLANT",7
"1192",22811,5310,12210,"AFA PLANT",15
"1193",22812,1623,10900,"AFA",31
"1194",22813,2059,12285,"AFA",55
"1195",22814,3896,12491,"AFA",64
"1196",22814,3896,12491,"CDQ",9
"1197",22815,1094,12391,"AFA",15
"1198",22815,3896,12391,"AFA",64
"1199",22815,3896,12391,"CDQ",9
"1200",22816,4635,11794,"EXP",71
"1201",22817,428,9181,"AFA",44
"1202",22818,3369,11963,"EXP",90
"1203",22819,5323,12495,"AFA PLANT",65
"1204",22820,3245,7595,"AFA",9
"1205",22820,3245,7595,"OA",1
"1206",22821,3870,10479,"AFA",68
"1207",22822,3870,8679,"AFA",68
"1208",22823,4733,11339,"IFQ",3
"1209",22823,5043,11339,"IFQ",6
"1210",22824,1879,12189,"EXP",90
"1211",22824,1879,12189,"RPP",1
"1212",22825,4194,12236,"AFA",82
"1213",22826,3800,12176,"AFA",7
"1214",22826,4092,12176,"EXP",10
"1215",22827,3681,12049,"AFA",67
"1216",22827,3681,12049,"CDQ",11
"1217",22828,4055,7636,"AFA",30
"1218",22829,51,12392,"IFQ",13
"1219",22829,612,12392,"IFQ",6
"1220",22829,1567,12392,"IFQ",1
"1221",22829,2791,12392,"OA",6
"1222",22829,5086,12392,"IFQ",4
"1223",22829,5873,12392,"IFQ",5
"1224",22829,30102,12392,"IFQ",23
"1225",22830,3442,12250,"AFA",71
"1226",22830,3442,12250,"CDQ",11
"1227",22831,4306,12171,"IFQ",7
"1228",22831,4306,12171,"OA",84
"1229",22832,2810,11959,"AFA",8
"1230",22832,3996,11959,"AFA",7
"1231",22832,4111,11959,"AFA",26
"1232",22832,33989,11959,"OA",23
"1233",22833,2123,3512,"A80",2
"1234",22833,2123,3512,"CDQ",26
"1235",22833,2123,3512,"EXP",64
"1236",22834,1610,12131,"EXP",46
"1237",22834,5320,12131,"AFA PLANT",36
"1238",22835,1623,11661,"AFA",4
"1239",22835,2718,11661,"IFQ",3
"1240",22835,2718,11661,"OA",38
"1241",22835,4635,11661,"EXP",19
"1242",22836,2810,12105,"AFA",18
"1243",22836,3242,12105,"IFQ",7
"1244",22836,3242,12105,"OA",58
"1245",22837,2943,9179,"AFA",53
"1246",22837,2943,9179,"CDQ",20
"1247",22837,2943,9179,"OA",19
"1248",22838,1641,12686,"AFA",42
"1249",22838,2943,12686,"AFA",20
"1250",22838,2943,12686,"CDQ",11
"1251",22838,2943,12686,"OA",11
"1252",22839,1650,12676,"AFA",57
"1253",22840,2657,12661,"AFA",40
"1254",22840,2943,12661,"AFA",33
"1255",22840,2943,12661,"CDQ",9
"1256",22840,2943,12661,"OA",9
"1257",22841,2888,12575,"AFA",64
"1258",22841,3414,12575,"AFA",10
"1259",22841,3414,12575,"CDQ",10
"1260",22842,3442,12625,"AFA",71
"1261",22842,3442,12625,"CDQ",11
"1262",22843,434,12680,"AFA",54
"1263",22843,7161,12680,"CDQ",6
"1264",22843,7161,12680,"OA",4
"1265",22844,1610,12690,"EXP",76
"1266",22844,2657,12690,"AFA",9
"1267",22845,367,12665,"OA",16
"1268",22845,2046,12665,"OA",1
"1269",22845,2046,12665,"RPP",3
"1270",22845,4111,12665,"AFA",51
"1271",22845,5310,12665,"AFA PLANT",16
"1272",22846,4078,12615,"AFA PLANT",75
"1273",22846,4092,12615,"EXP",10
"1274",22847,3681,12715,"AFA",67
"1275",22847,3681,12715,"CDQ",11
"1276",22848,2110,12671,"EXP",81
"1277",22849,4055,12610,"AFA",57
"1278",22850,208,12656,"AFA",74
"1279",22850,1234,12656,"AFA",9
"1280",22851,661,12695,"CDQ",39
"1281",22851,661,12695,"EXP",7
"1282",22851,993,12695,"AFA",40
"1283",22852,410,12650,"AFA",11
"1284",22852,2047,12650,"AFA",15
"1285",22852,3245,12650,"AFA",53
"1286",22852,3245,12650,"OA",6
"1287",22853,2769,12660,"AFA",83
"1288",22854,1879,12220,"EXP",21
"1289",22854,5310,12220,"AFA PLANT",8
"1290",22855,155,12482,"IFQ",13
"1291",22855,193,12482,"IFQ",4
"1292",22855,576,12482,"IFQ",7
"1293",22855,3829,12482,"IFQ",3
"1294",22855,4819,12482,"IFQ",2
"1295",22855,5873,12482,"IFQ",5
"1296",22855,31074,12482,"OA",4
"1297",22855,33932,12482,"OA",5
"1298",22857,2657,12393,"AFA",37
"1299",22857,3819,12393,"A80",1
"1300",22857,3819,12393,"EXP",6
"1301",22858,166,8514,"IFQ",20
"1302",22858,341,8514,"IFQ",2
"1303",22858,612,8514,"IFQ",6
"1304",22858,993,8514,"OA",3
"1305",22858,1257,8514,"IFQ",7
"1306",22858,2579,8514,"OA",2
"1307",22858,2781,8514,"OA",4
"1308",22858,4628,8514,"OA",13
"1309",22858,5086,8514,"IFQ",6
"1310",22858,13313,8514,"CDQ",5
"1311",22859,901,7327,"AFA",34
"1312",22860,249,12350,"AFA",17
"1313",22860,4055,12350,"AFA",44
"1314",22860,4055,12350,"CDQ",10
"1315",22861,4450,12265,"OA",72
"1316",22862,543,5151,"AFA",44
"1317",22863,3423,4161,"A80",5
"1318",22863,3423,4161,"CDQ",5
"1319",22863,3423,4161,"EXP",24
"1320",22864,3261,12067,"AFA",72
"1321",22864,3261,12067,"CDQ",12
"1322",22865,372,12371,"OA",30
"1323",22865,33320,12371,"CDQ",45
"1324",22865,33320,12371,"OA",4
"1325",22866,86,9821,"IFQ",5
"1326",22866,200,9821,"IFQ",9
"1327",22866,1235,9821,"OA",4
"1328",22866,1567,9821,"IFQ",3
"1329",22866,1868,9821,"OA",3
"1330",22866,1877,9821,"IFQ",11
"1331",22866,2250,9821,"IFQ",2
"1332",22866,2836,9821,"IFQ",5
"1333",22866,3044,9821,"IFQ",2
"1334",22866,3044,9821,"SMS",2
"1335",22866,3402,9821,"OA",4
"1336",22866,5747,9821,"IFQ",9
"1337",22866,6182,9821,"OA",5
"1338",22867,3988,12450,"AFA",17
"1339",22867,4635,12450,"EXP",32
"1340",22867,7161,12450,"CDQ",23
"1341",22867,7161,12450,"IFQ",25
"1342",22868,533,12515,"AFA",17
"1343",22868,3404,12515,"AFA",13
"1344",22869,1248,12121,"CDQ",24
"1345",22869,1248,12121,"OA",19
"1346",22869,5822,12121,"EXP",33
"1347",22870,1248,11994,"CDQ",24
"1348",22870,1248,11994,"OA",19
"1349",22870,5822,11994,"EXP",33
"1350",22871,2733,12160,"CDQ",35
"1351",22871,2733,12160,"EXP",71
"1352",22872,3800,10159,"AFA",20
"1353",22873,1222,12381,"AFA",20
"1354",22873,3367,12381,"CDQ",7
"1355",22873,3367,12381,"EXP",25
"1356",22874,4569,6189,"OA",63
"1357",22874,7161,6189,"CDQ",13
"1358",22874,7161,6189,"OA",3
"1359",22875,511,11929,"AFA",44
"1360",22876,372,9760,"OA",49
"1361",22877,3703,10904,"AFA",31
"1362",22877,3835,10904,"CDQ",31
"1363",22877,3835,10904,"EXP",53
"1364",22878,2810,12505,"AFA",22
"1365",22879,405,7424,"RPP",8
"1366",22879,6182,7424,"RPP",5
"1367",22880,33470,1511,"OA",71
"1368",22881,1641,12178,"AFA",18
"1369",22881,3835,12178,"CDQ",8
"1370",22881,3835,12178,"EXP",43
"1371",22882,4635,12041,"EXP",31
"1372",22883,422,12205,"AFA",10
"1373",22884,405,12415,"RPP",3
"1374",22884,1043,12415,"OA",8
"1375",22884,1109,12415,"OA",34
"1376",22884,4275,12415,"IFQ",4
"1377",22884,5000,12415,"OA",2
"1378",22884,5043,12415,"IFQ",4
"1379",22884,5086,12415,"IFQ",5
"1380",22885,249,12287,"AFA",12
"1381",22885,251,12287,"AFA",25
"1382",22885,3988,12287,"AFA",5
"1383",22886,1193,8435,"OA",37
"1384",22886,1482,8435,"OA",5
"1385",22886,4327,8435,"IFQ",3
"1386",22886,6097,8435,"OA",5
"1387",22886,34939,8435,"OA",3
"1388",22887,823,12361,"OA",3
"1389",22887,926,12361,"IFQ",12
"1390",22887,3093,12361,"IFQ",10
"1391",22887,4417,12361,"IFQ",3
"1392",22887,5743,12361,"IFQ",9
"1393",22887,6182,12361,"OA",10
"1394",22888,34017,12313,"A80",8
"1395",22888,34017,12313,"EXP",35
"1396",22889,2733,12560,"CDQ",21
"1397",22889,2733,12560,"EXP",51
"1398",22890,523,12420,"AFA",23
"1399",22890,1234,12420,"AFA",2
"1400",22890,1234,12420,"RPP",4
"1401",22890,2059,12420,"AFA",21
"1402",22890,2142,12420,"AFA",9
"1403",22891,249,9579,"AFA",14
"1404",22891,3672,9579,"OA",55
"1405",22892,3261,11960,"AFA",57
"1406",22892,3261,11960,"CDQ",11
"1407",22893,34249,11788,"CDQ",28
"1408",22893,34249,11788,"EXP",59
"1409",22894,1042,12369,"IFQ",8
"1410",22894,1043,12369,"OA",4
"1411",22894,2844,12369,"IFQ",10
"1412",22894,5172,12369,"IFQ",8
"1413",22894,30512,12369,"IFQ",8
"1414",22894,31518,12369,"IFQ",3
"1415",22894,31518,12369,"SMS",3
"1416",22894,32665,12369,"CDQ",3
"1417",22894,34744,12369,"IFQ",9
"1418",22895,1996,12710,"CDQ",37
"1419",22895,1996,12710,"EXP",23
"1420",22895,3988,12710,"AFA",18
"1421",22896,533,12645,"AFA",64
"1422",22897,1652,12677,"AFA",9
"1423",22897,4078,12677,"AFA PLANT",51
"1424",22898,4092,12675,"EXP",67
"1425",22899,1257,12451,"IFQ",6
"1426",22899,2861,12451,"OA",3
"1427",22899,4315,12451,"IFQ",5
"1428",22899,4327,12451,"IFQ",4
"1429",22899,4593,12451,"OA",6
"1430",22899,5143,12451,"IFQ",3
"1431",22900,825,12740,"AFA",17
"1432",22900,825,12740,"RPP",9
"1433",22900,1879,12740,"EXP",29
"1434",22900,2861,12740,"RPP",5
"1435",22901,3800,12721,"AFA",14
"1436",22901,34017,12721,"A80",9
"1437",22901,34017,12721,"EXP",51
"1438",22902,2889,12735,"AFA",35
"1439",22902,3835,12735,"CDQ",23
