"","Coverage Type","Vessel Type","Gear Type","Management Program","NMFS Region","Confi Flag","Vessel/Plant Assignments","Deployed Days","Statements (all categories)","Occurrences (all categories)","OLE PRIORITY: INTER-PERSONAL per ASSNMT","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","COAST GUARD","LIMITED ACCESS PROGRAMS","PROTECTED RESOURCE & PROHIBITED SPECIES","ALL OTHER STATEMENT TYPES"
"1","FULL","CP/MS","HAL","CDQ","BSAI",0,23,486,4.5484005519089,15.6832576124447,0.0624099589967123,2.95355773029709,0.30768047382793,3.32333553665779,15.9544511045082,5.30312672351618,4.42792582305435
"2","FULL","CP/MS","HAL","IFQ","BSAI",0,3,37,0.999192897497982,7.56900726392252,NA,NA,NA,13.7280137280137,NA,3.20659642693541,187.633153734849
"3","FULL","CP/MS","HAL","IFQ","GOA",1,2,49,3.19626168224299,20.9532710280374,0.355140186915888,14.4955178333015,7.24775891665077,21.7432767499523,362.387945832539,NA,21.7432767499523
"4","FULL","CP/MS","HAL","OA","BSAI",0,51,2777,33.3295591733434,294.060860856729,0.0363586386126243,0.667731569767317,0.178367699965336,5.88700360568843,22.1422857102681,19.9150292922487,57.1011416671572
"5","FULL","CP/MS","NPT","A80","BSAI",0,167,9478,193.434470319024,856.885396896634,0.29275733250133,5.15831130277718,8.70317950929283,12.1310845061464,17.3674989783253,36.243772911816,10.8039811200486
"6","FULL","CP/MS","NPT","CDQ","BSAI",0,71,1339,26.2312317065764,90.5364951940191,0.12706697384846,6.73768121227832,1.02876747457049,12.2990928642409,17.4932574460498,19.2877740436052,10.7684345724137
"7","FULL","CP/MS","NPT","OA","BSAI",0,56,1483,37.9813496807523,86.1931683940792,0.192984328887478,7.28733811038354,1.58953093340353,23.7574617414027,9.95288529864886,11.6987680070938,3.83483073986942
"8","FULL","CP/MS","NPT","OA","GOA",0,22,685,8.04739787512331,26.469334236969,0.0666049636637872,2.13913751912893,0.51524259338772,2.31704906168482,3.62639117395965,14.8235895609939,15.2199539404348
"9","FULL","CP/MS","NPT","RPP","GOA",0,16,395,7.95592792164231,28.6746912523961,0.19498040855138,7.89794059954959,1.07222635889799,1.64805568791564,27.4399839487504,30.6069457968192,3.92900267742445
"10","FULL","CP/MS","POT","CDQ","BSAI",0,6,209,5.91130604288499,53.2076023391813,2.5,71.7703349282297,83.5991493886231,13.0879431433448,NA,NA,86.1244019138756
"11","FULL","CP/MS","POT","IFQ","BSAI",1,2,42,0,0,NA,NA,NA,NA,NA,NA,NA
"12","FULL","CP/MS","POT","IFQ","GOA",0,3,126,0,0,NA,NA,NA,NA,NA,NA,NA
"13","FULL","CP/MS","POT","OA","BSAI",0,7,144,2.08869395711501,5.79239766081871,NA,NA,31.4429012345679,8.78208252111761,NA,NA,NA
"14","FULL","CP/MS","PTR","A80","BSAI",0,3,10,0.227254181966544,0.638106895144839,NA,NA,NA,8.26193390452876,41.5952672378621,6.2015503875969,7.75193798449612
"15","FULL","CP/MS","PTR","AFA","BSAI",0,88,4869,97.5699363085147,1065.14285733365,0.486768764642476,8.7976281143023,11.3824930308342,19.6522031078007,1.45134994720746,118.3323120213,59.1440994909506
"16","FULL","CP/MS","PTR","CDQ","BSAI",0,51,1245,19.4300636914853,88.8571426663455,0.258124484538473,10.5737740654314,14.9226035605367,9.89029965310702,3.15933904180471,7.90359258497081,24.9215900229409
"17","FULL","CP/MS","PTR","RPP","GOA",0,3,46,1.1223683149149,4.60280713075744,0.231884057971014,15.1228733459357,NA,NA,75.4004299777997,NA,9.5377212579481
"18","FULL","CV","HAL","IFQ","BSAI",1,1,22,3,21,NA,NA,NA,90.9090909090909,863.636363636364,NA,NA
"19","FULL","CV","NPT","OA","BSAI",0,25,423,5.39883661077192,12.2754554094661,0.152359550561798,9.0047015698462,NA,3.02538667161112,0.420278434462832,6.87127336262725,9.6983491091265
"20","FULL","CV","NPT","OA","GOA",1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA
"21","FULL","CV","NPT","RPP","GOA",0,40,372,16.0711839058534,30.5783896845708,0.0869642857142857,9.35099846390169,13.7096774193548,10.9237536656891,0.448028673835125,31.0539606592238,16.7135533883471
"22","FULL","CV","PTR","AFA","BSAI",0,99,4302,51.6011633892281,249.724544590534,0.0827374872318693,1.90400075219783,2.09205020920502,4.35152520639435,3.21297587685314,2.34622300502294,44.141701145244
"23","FULL","CV","PTR","OA","BSAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","FULL","CV","PTR","RPP","GOA",0,51,368,18.4704827608132,27.7966103154292,0.0494397759103641,6.85170807453416,10.5978260869565,7.97924901185771,2.15126811594203,11.1809600582484,36.7732558139535
"25","FULL","PLANT"," ","AFA","BSAI",0,85,3962,79.6732307630529,202.494752355811,0.366838210855222,7.87007771900401,13.9863075320172,2.40859594721281,5.56824778256075,4.15266795765894,17.1233287949665
"26","FULL","PLANT"," ","OA","BSAI",0,18,674,9.46247337554495,42.7427353448313,0.0189901892488099,0.507156389434093,47.4777448071217,1.48367952522255,1.24686646851634,5.13792724475217,7.56314684808569
"27","FULL","PLANT"," ","OA","GOA",0,43,1219,26.8642958614021,360.762512299358,0.0576029923448264,2.03193492274613,1.30127117157322,0.375014649009727,0.900914098206961,101.791769145851,189.548654912825
"28","PARTIAL","CV","HAL","CDQ","BSAI",1,2,11,1,1,NA,NA,NA,NA,NA,NA,90.9090909090909
"29","PARTIAL","CV","HAL","IFQ","BSAI",0,14,156,1.28571428571429,7.42857142857143,NA,NA,NA,12.8205128205128,NA,NA,34.7985347985348
"30","PARTIAL","CV","HAL","IFQ","GOA",0,172,1065,58.5919746919747,172.291974691975,0.0581395348837209,9.38967136150235,7.13615023474178,13.5235656362417,44.2566510172144,16.5258215962441,70.9446422122478
"31","PARTIAL","CV","NPT","OA","BSAI",0,9,52,4.53333333333333,4.53333333333333,NA,NA,38.4615384615385,19.2307692307692,NA,19.2307692307692,10.2564102564103
"32","PARTIAL","CV","NPT","OA","GOA",0,32,117,14.417316017316,36.6030303030303,0.09375,25.6410256410256,38.4615384615385,NA,NA,44.7145447145447,204.029304029304
"33","PARTIAL","CV","NPT","RPP","GOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","PARTIAL","CV","POT","CDQ","BSAI",1,2,5,0,0,NA,NA,NA,NA,NA,NA,NA
"35","PARTIAL","CV","POT","IFQ","BSAI",0,9,38,6,6,NA,NA,NA,26.3157894736842,26.3157894736842,26.3157894736842,78.9473684210526
"36","PARTIAL","CV","POT","IFQ","GOA",0,104,746,40.622311022311,167.279453879454,0.0192307692307692,2.68096514745308,51.4745308310992,22.2485289509418,41.3762287756926,0.536193029490617,105.918746133223
"37","PARTIAL","CV","POT","OA","BSAI",0,16,127,1,1,NA,NA,NA,NA,NA,NA,7.8740157480315
"38","PARTIAL","CV","POT","OA","GOA",0,11,81,6.5,102,NA,NA,24.6913580246914,61.7283950617284,NA,NA,1172.83950617284
"39","PARTIAL","CV","PTR","OA","GOA",0,64,340,24.382683982684,52.1969696969697,0.015625,2.94117647058824,27.9411764705882,5.88235294117647,NA,20.8874458874459,95.8683473389356
"40","PARTIAL","PLANT"," ","OA","GOA",0,6,344,2,76,NA,NA,NA,NA,NA,NA,220.93023255814
"41","FULL","CP/MS","HAL","OA","GOA",0,4,86,0.926585695006748,1.7336032388664,NA,NA,NA,5.38712613376016,NA,NA,14.7710510623607
"42","FULL","CV","PTR","OA","GOA",0,3,8,0.125,0.291666666666667,NA,NA,NA,NA,5.20833333333333,NA,31.25
"43","PARTIAL","CV","HAL","OA","GOA",0,9,44,3,29,0.111111111111111,22.7272727272727,NA,NA,NA,454.545454545455,181.818181818182
