"","Coverage Type","Vessel Type","Gear Type","Management Program","NMFS Region","Confi Flag","OLE System","Vessel/Plant Assignments","Deployed Days","Statements (all categories)","Occurrences (all categories)","OLE PRIORITY: INTER-PERSONAL per ASSNMT","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","COAST GUARD","LIMITED ACCESS PROGRAMS","PROTECTED RESOURCE & PROHIBITED SPECIES","ALL OTHER STATEMENT TYPES"
"29","FULL","CV","PTR","AFA","BSAI",0,"NEW",39,1566,12,130,NA,NA,NA,1.27713920817369,12.7713920817369,1.27713920817369,67.6883780332056
"30","FULL","CV","PTR","AFA","BSAI",0,"OLD",35,1245,24.331290555155,35.3886085075703,0.294716242661448,8.28519557682786,0.803212851405622,6.26717395899387,0.803212851405622,2.40963855421687,9.85615135379297
"31","FULL","CV","PTR","RPP","GOA",0,"NEW",15,109,1,4,NA,NA,36.697247706422,NA,NA,NA,NA
"32","FULL","CV","PTR","RPP","GOA",0,"OLD",24,284,1.96969696969697,1.96969696969697,NA,NA,NA,3.41442594963722,NA,NA,3.52112676056338
"33","FULL","PLANT"," ","AFA","BSAI",0,"NEW",64,1776,26.6268813880395,1309.42718735499,0.159582934008762,5.75073636067612,84.5284254978391,NA,294.850470678784,143.778459165687,208.381991267166
"34","FULL","PLANT"," ","AFA","BSAI",0,"OLD",45,1733,37.8413921829016,131.659348452076,0.107544581618656,2.79255982275794,4.55420000853363,3.84828882308882,12.9379772821399,5.56142008445589,46.2774803795292
"35","FULL","PLANT"," ","OA","BSAI",0,"NEW",5,28,0.922576670317634,90.4862404162103,0.200492880613363,35.802300109529,500,NA,1513.82803943045,20.0892857142857,1161.93181818182
"36","FULL","PLANT"," ","OA","BSAI",0,"OLD",18,146,2.61732480154151,5.58762841672437,0.00342935528120713,0.422797226450194,5.72337031582396,5.59860799109488,17.4896258222715,2.47985612080782,6.55717003536245
"37","FULL","PLANT"," ","OA","GOA",0,"NEW",37,701,21.4505419416428,659.086572228799,0.102276427577632,5.39832784646562,21.2232757715233,NA,79.8265035241472,430.937170501768,402.823812554098
"38","FULL","PLANT"," ","OA","GOA",0,"OLD",23,648,6.54128301555685,10.7530231311999,0.00429414922168545,0.152415790275873,0.419690307254516,0.792467134085207,0.0385802469135802,4.62962962962963,10.5613883906065
"39","PARTIAL","CV","HAL","IFQ","BSAI",0,"NEW",16,208,9.6549881491058,379.548631760396,NA,NA,NA,4.80769230769231,NA,NA,1819.94534500191
"40","PARTIAL","CV","HAL","IFQ","GOA",0,"NEW",148,865,42.1787114845938,289.347338935574,0.182432432432432,31.2138728323699,70.9826589595376,51.9845857418112,NA,6.9364161849711,173.388060426483
"41","PARTIAL","CV","HAL","IFQ","GOA",0,"OLD",77,448,23.4166666666667,88.7916666666667,0.025974025974026,4.46428571428571,NA,15.4389880952381,33.4821428571429,26.7857142857143,118.024553571429
"42","PARTIAL","CV","HAL","OA","GOA",0,"OLD",6,21,1,2,NA,NA,NA,95.2380952380952,NA,NA,NA
"43","PARTIAL","CV","NPT","OA","BSAI",0,"NEW",4,17,0,0,NA,NA,NA,NA,NA,NA,NA
"44","PARTIAL","CV","NPT","OA","BSAI",0,"OLD",26,129,8.66666666666667,22.6666666666667,NA,NA,NA,50.6459948320413,NA,43.4108527131783,81.6537467700258
"45","PARTIAL","CV","NPT","OA","GOA",0,"NEW",14,63,1.8,20.8,NA,NA,NA,NA,NA,317.460317460317,12.6984126984127
"46","PARTIAL","CV","NPT","OA","GOA",0,"OLD",43,149,16.4326330532213,44.7183473389356,0.116279069767442,33.5570469798658,73.8255033557047,20.8692873122403,NA,22.5743988870716,149.296899968041
"47","PARTIAL","CV","POT","IFQ","BSAI",0,"NEW",11,54,12.1282051282051,30.2564102564103,0.454545454545455,92.5925925925926,18.5185185185185,129.62962962963,NA,NA,319.563152896486
"48","PARTIAL","CV","POT","IFQ","BSAI",0,"OLD",8,55,0,0,NA,NA,NA,NA,NA,NA,NA
"49","PARTIAL","CV","POT","IFQ","GOA",0,"NEW",51,340,29.0380952380952,184.847619047619,0.117647058823529,17.6470588235294,51.7647058823529,53.0392156862745,NA,NA,421.218487394958
"50","PARTIAL","CV","POT","IFQ","GOA",0,"OLD",69,513,12.5833333333333,57.2083333333333,NA,NA,1.94931773879142,29.4022092267706,7.79727095516569,NA,72.3684210526316
"51","PARTIAL","CV","POT","OA","BSAI",0,"NEW",6,71,5,35,NA,NA,NA,239.43661971831,NA,NA,253.521126760563
"52","PARTIAL","CV","POT","OA","BSAI",0,"OLD",10,86,5,20,NA,NA,NA,11.6279069767442,NA,NA,220.93023255814
"53","PARTIAL","CV","POT","OA","GOA",0,"OLD",9,41,5,45,NA,NA,NA,NA,NA,NA,1097.56097560976
"54","PARTIAL","CV","PTR","OA","GOA",0,"NEW",40,200,4.2,14.2,NA,NA,20,50,NA,NA,1
"55","PARTIAL","CV","PTR","OA","GOA",0,"OLD",46,284,19.900700280112,21.6149859943978,0.0217391304347826,3.52112676056338,3.52112676056338,8.29979879275654,NA,24.7761076261491,35.9909456740443
