"","Coverage Type","Vessel Type","Gear Type","Management Program","NMFS Region","Confi Flag","OLE System","Vessel/Plant Assignments","Deployed Days","Statements (all categories)","Occurrences (all categories)","OLE PRIORITY: INTER-PERSONAL per ASSNMT","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","COAST GUARD","LIMITED ACCESS PROGRAMS","PROTECTED RESOURCE & PROHIBITED SPECIES","ALL OTHER STATEMENT TYPES"
"1","FULL","CP/MS","HAL","CDQ","BSAI",0,"NEW",23,497,6.93819472043775,21.2582464450337,NA,NA,4.29242119382964,29.0780991662241,7.39053888548683,NA,2.01207243460765
"2","FULL","CP/MS","HAL","CDQ","BSAI",0,"OLD",7,129,1.05171907756813,11.7413417190776,0.0539083557951482,2.92525961679099,43.8788942518648,1.12768758227293,35.1031154014919,1.1701038467164,6.81309216192937
"3","FULL","CP/MS","HAL","OA","BSAI",0,"NEW",40,2029,31.1494315421885,320.796046484259,NA,NA,0.492853622474125,62.9605333110517,60.4809221600798,6.89995071463775,27.2712337769016
"4","FULL","CP/MS","HAL","OA","BSAI",0,"OLD",33,1598,27.6535440803266,210.784974070396,0.230989136649514,4.77011358537795,43.3915035303563,9.29569981344605,54.1124518856117,6.49272365034247,13.8429981921847
"5","FULL","CP/MS","HAL","OA","GOA",0,"NEW",4,73,1.53333333333333,2.11111111111111,NA,NA,11.8721461187215,3.34855403348554,NA,13.6986301369863,NA
"6","FULL","CP/MS","HAL","OA","GOA",0,"OLD",3,44,0.294736842105263,1.47368421052632,NA,NA,NA,NA,NA,33.4928229665072,NA
"7","FULL","CP/MS","NPT","A80","BSAI",0,"NEW",93,3820,91.4978529315598,1499.08084665005,0.313334835450942,7.62830882118786,30.5008266740149,103.170503579385,128.19887131464,54.0680005980364,68.8630300206017
"8","FULL","CP/MS","NPT","A80","BSAI",0,"OLD",76,4823,128.326723567223,654.833159224941,0.863076273502248,13.6002066734752,4.5153848277237,20.0713299902303,42.0068215425802,9.62928268543314,45.9499701804
"9","FULL","CP/MS","NPT","CDQ","BSAI",0,"NEW",49,604,9.94945017382382,100.6795139806,0.0465384397061416,3.77546944635917,21.3017021029395,40.5578525423579,85.6104607250701,8.42536616978931,7.01708606745773
"10","FULL","CP/MS","NPT","CDQ","BSAI",0,"OLD",36,650,15.8927738677838,52.8708436028464,0.0206412058244652,1.14320524566269,1.62510571336568,15.1436005879397,16.4523240812564,38.9955258327887,7.97999792798132
"11","FULL","CP/MS","NPT","OA","BSAI",0,"NEW",39,691,10.1059585053212,69.5199249087792,0.00807217473884141,0.45559307498526,13.2118465483535,28.4383299231994,40.5804292099514,8.2183158198087,9.70319151455448
"12","FULL","CP/MS","NPT","OA","BSAI",0,"OLD",35,843,30.7567937078201,154.707100142997,0.0857953584595408,3.56208487079944,7.31433008564758,19.0450789796116,21.7462332144629,123.557288829786,8.29467576701955
"13","FULL","CP/MS","NPT","OA","GOA",0,"NEW",16,241,3.87196548179036,33.7633176214447,0.0933950589649792,6.20050183999862,51.8308218679479,5.45261301853458,73.7395375639106,2.87327932556148,NA
"14","FULL","CP/MS","NPT","OA","GOA",0,"OLD",7,144,1.3925548256365,1.81190966434618,0.0898617511520737,4.36827956989247,3.69385342789598,3.69385342789598,0.826719576719577,NA,NA
"15","FULL","CP/MS","NPT","RPP","GOA",0,"NEW",10,355,5.57477290750487,52.9563968391288,0.0770340999206979,2.16997464565346,NA,6.83596528666951,140.167008910293,NA,NA
"16","FULL","CP/MS","NPT","RPP","GOA",0,"OLD",6,53,1.16917992150382,1.16917992150382,NA,NA,8.8317944600562,10.2972643263321,1.46546986627587,NA,1.46546986627587
"17","FULL","CP/MS","POT","CDQ","BSAI",0,"NEW",6,133,3.54646464646465,129.368686868687,NA,NA,NA,15.7211209842789,917.293233082707,NA,39.6825396825397
"18","FULL","CP/MS","POT","CDQ","BSAI",0,"OLD",4,113,2.63296296296296,5.51296296296296,NA,NA,8.49557522123894,35.2933464437889,3.68731563421829,1.31104555883317,NA
"19","FULL","CP/MS","POT","IFQ","BSAI",0,"NEW",6,153,1.94945887445887,5.58279220779221,NA,NA,NA,3.80909939733469,3.99419026870007,NA,28.6855482933914
"20","FULL","CP/MS","POT","OA","BSAI",0,"NEW",4,104,4.62337662337662,6.62337662337662,NA,NA,19.2307692307692,44.4555444555445,NA,NA,NA
"21","FULL","CP/MS","POT","OA","BSAI",0,"OLD",3,52,1.7837037037037,1.9037037037037,NA,NA,0.769230769230769,19.4586894586895,NA,16.3817663817664,NA
"22","FULL","CP/MS","PTR","AFA","BSAI",0,"NEW",40,2122,39.6679728743013,976.755844818172,0.524694005948296,9.89055619129681,NA,35.5791814560188,254.79660335061,108.293146109297,51.7401570106722
"23","FULL","CP/MS","PTR","AFA","BSAI",0,"OLD",37,1998,47.5744611957341,474.108005696483,0.677539608574091,12.5470297884091,0.656291255521602,14.07494508417,14.1456262825181,181.408844800712,14.4585569310535
"24","FULL","CP/MS","PTR","CDQ","BSAI",0,"NEW",23,505,8.33202712569869,159.244155181828,0.130966946176877,5.96483121201619,NA,58.4177761392636,8.5576389901105,162.776126645689,79.6185877690168
"25","FULL","CP/MS","PTR","CDQ","BSAI",0,"OLD",25,587,13.4255388042659,275.891994303517,1.87724137931034,79.9506549961816,1.17330506212579,13.4212261019221,42.1414628407647,271.797492484119,61.5192559655112
"26","FULL","CV","NPT","OA","BSAI",0,"OLD",15,184,2.66870944484499,3.6113914924297,0.112328767123288,9.15723645026802,NA,6.50743707093822,NA,NA,3.96245415504216
"27","FULL","CV","NPT","RPP","GOA",0,"NEW",12,84,1,1,NA,NA,NA,NA,NA,11.9047619047619,NA
"28","FULL","CV","NPT","RPP","GOA",0,"OLD",22,186,2.03030303030303,2.03030303030303,NA,NA,NA,10.9156076898012,NA,NA,NA
