"","FISCAL_YEAR","FACTOR_TYPE","FACTOR_VALUE","TOTAL_DISTINCT_OBSERVER_DEPLOYED_DAYS","TOTAL_VESSEL_PLANT_DEPLOYED_DAYS","TOTAL_VESSEL_PLANT_ASSIGNMENTS","TOTAL_CRUISES","TOTAL_OBSERVERS"
"72",2020,"VESSEL_TYPE","PLANT",4990,5029,92,87,75
"73",2021,"COVERAGE_TYPE","FULL",34613,34824,794,599,361
"74",2021,"COVERAGE_TYPE","PARTIAL",2678,2771,349,101,64
"75",2021,"GEAR_TYPE"," ",6462,6719,154,143,119
"76",2021,"GEAR_TYPE","HAL",5110,5113,250,146,111
"77",2021,"GEAR_TYPE","NPT",12871,12873,344,294,234
"78",2021,"GEAR_TYPE","POT",1201,1202,116,77,60
"79",2021,"GEAR_TYPE","PTR",11811,11822,376,293,231
"80",2021,"MANAGEMENT_PROGRAM_CODE","A80",9498,9498,196,191,158
"81",2021,"MANAGEMENT_PROGRAM_CODE","AFA",14643,14653,357,314,229
"82",2021,"MANAGEMENT_PROGRAM_CODE","CDQ",3258,3258,180,179,149
"83",2021,"MANAGEMENT_PROGRAM_CODE","IFQ",1861,1864,235,92,64
"84",2021,"MANAGEMENT_PROGRAM_CODE","OA",9018,9279,386,294,224
"85",2021,"MANAGEMENT_PROGRAM_CODE","RPP",1138,1142,89,67,64
"86",2021,"NMFS_REGION","BSAI",31891,31923,723,567,350
"87",2021,"NMFS_REGION","GOA",5407,5675,479,212,157
"88",2021,"VESSEL_TYPE","CP/MS",22431,22437,430,389,255
"89",2021,"VESSEL_TYPE","CV",8421,8439,556,250,197
"90",2021,"VESSEL_TYPE","PLANT",6462,6719,154,143,119
"91",2022,"COVERAGE_TYPE","FULL",28454,28870,756,547,311
"92",2022,"COVERAGE_TYPE","PARTIAL",3411,3419,513,120,70
"93",2022,"GEAR_TYPE"," ",4453,4826,146,128,115
"94",2022,"GEAR_TYPE","HAL",5391,5392,296,169,126
"95",2022,"GEAR_TYPE","NPT",12737,12743,423,349,242
"96",2022,"GEAR_TYPE","POT",1962,1963,206,116,83
"97",2022,"GEAR_TYPE","PTR",7538,7541,294,212,166
"98",2022,"MANAGEMENT_PROGRAM_CODE","A80",9414,9415,250,232,167
"99",2022,"MANAGEMENT_PROGRAM_CODE","AFA",9414,9429,260,220,170
"100",2022,"MANAGEMENT_PROGRAM_CODE","CDQ",2965,2965,183,174,144
"101",2022,"MANAGEMENT_PROGRAM_CODE","IFQ",2428,2433,328,109,78
"102",2022,"MANAGEMENT_PROGRAM_CODE","OA",8402,8779,490,325,238
"103",2022,"MANAGEMENT_PROGRAM_CODE","RPP",1086,1087,67,57,54
"104",2022,"NMFS_REGION","BSAI",26169,26207,740,545,322
"105",2022,"NMFS_REGION","GOA",5702,6085,589,224,169
"106",2022,"VESSEL_TYPE","CP/MS",20538,20544,470,402,242
"107",2022,"VESSEL_TYPE","CV",6907,6919,653,218,156
"108",2022,"VESSEL_TYPE","PLANT",4453,4826,146,128,115
